Original Name,Gender,Description,Location
JULI,female,"English variant spelling of French Julie , meaning `` descended from Jupiter ( Jove ) . ''",English
JULIA,female,"Feminine form of Roman Latin Julius , meaning `` descended from Jupiter ( Jove ) . ''",English
JULIANA,female,"Feminine form of Roman Latin Julianus , meaning `` descended from Jupiter ( Jove ) . ''",English
JULIANNA,female,"Hungarian feminine form of Roman Latin Julianus , meaning `` descended from Jupiter ( Jove ) . '' Polish feminine form of Roman Latin Julianus , meaning `` descended from Jupiter ( Jove ) . ''",English
Hungarian,female,"feminine form of Roman Latin Julianus , meaning `` descended from Jupiter ( Jove ) . ''",English
Polish,female,"feminine form of Roman Latin Julianus , meaning `` descended from Jupiter ( Jove ) . ''",English
JULIANNE,female,"English feminine form of Roman Latin Julianus , meaning `` descended from Jupiter ( Jove ) . ''",English
JULIE,female,"French form of Roman Latin Julia , meaning `` descended from Jupiter ( Jove ) . ''",English
JULIET,female,"Pet form of French Julie , meaning `` descended from Jupiter ( Jove ) . ''",English
JULIETTE,female,"Pet form of French Julie , meaning `` descended from Jupiter ( Jove ) . ''",English
JULY,female,"English name derived from the name of the month which was named after Julius Cæsar , hence `` descended from Jupiter ( Jove ) . ''",English
JUNE,female,"English name derived from the name of the month which was named after the Roman goddess Juno , meaning `` vital force . ''",English
JUNIPER,female,English name derived from the name of the `` juniper tree . '',English
JUSTICE,female,"English unisex name derived from a Middle English and Old French byname for a fair-minded person , meaning `` equity , justice . ''",English
JUSTINA,female,"Feminine form of Roman Latin Justinus , meaning `` fair , just . '' Compare with another form of Justina",English
JUSTINE,female,"Feminine form of English Justin , meaning `` fair , just . ''",English
JUSTY,female,"Unisex pet form of English Justin and Justine , both meaning `` fair , just . ''",English
KACEY,female,"Variant spelling of English Casey , meaning `` she who entangles men . ''",English
KACIE,female,"Variant spelling of English Kacey , meaning `` she who entangles men . ''",English
KADENCE,female,"Feminine variant spelling of English unisex Cadence , meaning `` flow of rhythm . ''",English
KAE,female,"Variant spelling of English Kay , a short form of names beginning with `` K. '' Compare with masculine Kae",English
KAELEA,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAELEE,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAETY,female,"Variant spelling of English Katie , meaning `` pure . ''",English
KAILA,female,"Altered form of English Kayley , meaning `` slender . '' Compare with another form of Kaila",English
KAILEE,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAILEY,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAILYN,female,"Variant spelling of English Kaylyn , meaning `` girl . ''",English
KAITLIN,female,"Anglicized form of Irish Gaelic Caitlín , meaning `` pure . ''",English
KAITLYN,female,"Variant spelling of English Kaitlin , meaning `` pure . ''",English
KAITLYNN,female,"Variant spelling of English Kaitlin , meaning `` pure . ''",English
KALEIGH,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KALEY,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KALIE,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KALISHA,female,Modern English creation that is an elaborated form either of Lisha ( a short form of longer names ending with -isha ) or Alisha ( `` noble sort '' ),English
KALLA,female,"Variant spelling of English Calla , meaning `` beauty . ''",English
KALYN,female,"Variant spelling of English Kaylyn , meaning `` girl . ''",English
KALYSTA,female,"English variant spelling of Latin Callista , meaning `` most beautiful . ''",English
KAMRYN,female,"English feminine form of Scottish unisex Cameron , meaning `` crooked nose . ''",English
KANDACE,female,"English variant spelling of Greek Kandake , meaning `` prince of servants . ''",English
KANDI,female,"Pet form of English Kandace , meaning `` prince of servants . ''",English
KARA,female,"Variant spelling of English Cara , meaning either `` beloved '' or `` friend . ''",English
KARAUGH,female,"Variant spelling of English Kara , meaning either `` beloved '' or `` friend . ''",English
KAREN,female,"Danish form of Greek Aikaterine , meaning `` pure . '' This name was brought to America by Scandinavian settlers",English
KARENA,female,"Variant spelling of English Carina , meaning `` beloved . '' Compare with another form of Karena",English
KARENZA,female,"Variant spelling of English Kerensa , meaning `` love . ''",English
KARI,female,"Variant spelling of English Carrie , meaning `` man . '' Compare with another form of Kari",English
KARINA,female,"Variant spelling of English Carina , meaning `` beloved . '' Compare with other forms of Karina",English
KARISSA,female,"Variant spelling of English Charissa , meaning `` grace . ''",English
KARLA,female,"Feminine form of German Karl , meaning `` man . ''",English
KARLEE,female,"Variant spelling of English Carlie , meaning `` man . ''",English
KARLENE,female,"Pet form of German Karla , meaning `` man . ''",English
KARLY,female,"Variant spelling of English Carly , meaning `` man . ''",English
KAROLYN,female,"English variant form of French Caroline , meaning `` man . ''",English
KARON,female,"English variant spelling of Danish Karen , meaning `` pure . ''",English
KARRIE,female,"Variant spelling of English Carrie , meaning `` man . ''",English
KARYN,female,"English variant spelling of Danish Karen , meaning `` pure . ''",English
KARYNA,female,"Variant spelling of English Carina which originally meant `` shell of a nut , '' later `` keel of a ship . ''",English
KASANDRA,female,"English variant spelling of Latin Cassandra , meaning `` she who entangles men . ''",English
KASEY,female,"Variant spelling of English unisex Casey , meaning `` vigilant , wakeful . ''",English
KASSIA,female,"English variant spelling of Latin Cassia , meaning `` cassia , '' a bark similar to cinnamon . Compare with another form of Kassia",English
KASSIDY,female,"Variant spelling of English unisex Cassidy , meaning `` curly ( -headed ) . ''",English
KASSY,female,"Pet form of English Kassia , meaning `` cassia , '' a bark similar to cinnamon",English
KAT,female,"Pet form of English Katherine , meaning `` pure . ''",English
KATE,female,"Pet form of English Katherine , meaning `` pure . ''",English
KATEE,female,"Variant spelling of English Katie , meaning `` pure . ''",English
KATELIN,female,"Variant spelling of English Kaitlin , meaning `` pure . ''",English
KATELYN,female,"Variant spelling of English Katelin , meaning `` pure . ''",English
KATELYNN,female,"Variant spelling of English Katelyn , meaning `` pure . ''",English
KATEY,female,"Variant spelling of English Katie , meaning `` pure . ''",English
KATH,female,"Short form of English Katherine , meaning `` pure . ''",English
KATHARINE,female,"Variant spelling of English Katherine , meaning `` pure . ''",English
KATHARYN,female,"Variant spelling of English Katherine , meaning `` pure . ''",English
KATHERINE,female,"English form of Latin Katherina , meaning `` pure . ''",English
KATHERYN,female,"Variant spelling of English Katherine , meaning `` pure . ''",English
KATHERYNE,female,"Variant spelling of English Katherine , meaning `` pure . ''",English
KATHI,female,"Variant spelling of English Kathy , meaning `` pure . ''",English
KATHIE,female,"Variant spelling of English Kathy , meaning `` pure . ''",English
KATHLEEN,female,"Anglicized form of Irish Gaelic Caitlín , meaning `` pure . ''",English
KATHLYN,female,"Variant spelling of English Kathleen , meaning `` pure . ''",English
KATHRYN,female,"Variant spelling of English Katherine , meaning `` pure . ''",English
KATHY,female,"Pet form of English Katherine , meaning `` pure . ''",English
KATIE,female,"Pet form of English Katherine , meaning `` pure . ''",English
KATLYN,female,"Variant spelling of English Kaitlin , meaning `` pure . ''",English
KATRINA,female,"Variant spelling of English Catrina , meaning `` pure . '' Compare with another form of Katrina",English
KATRIONA,female,"Anglicized form of Irish Gaelic Catríona and Scottish Gaelic Catrìona , both meaning `` pure . ''",English
KATRYNA,female,"Variant spelling of English Katrina , meaning `` pure . ''",English
KATY,female,"Variant spelling of English Katie , meaning `` pure . ''",English
KAY,female,Short form of names beginning with the letter `` K . '',English
KAYCEE,female,English short form of longer names beginning with the letter `` K. '' Compare with masculine Kay,English
KAYE,female,"Variant spelling of English Kay , a short form of longer names beginning with the letter `` K . ''",English
KAYLA,female,"Variant form of English Kayley , meaning `` slender . '' Compare with another form of Kayla",English
KAYLEAH,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAYLEE,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAYLEEN,female,"Probably a variant spelling of English Kaylyn , meaning `` girl . ''",English
KAYLEIGH,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAYLEY,female,"Irish surname transferred to forename use , from an Anglicized form of Gaelic Ó Caollaidhe , `` descendant of Caolladhe , '' hence `` slender . ''",English
KAYLIE,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAYLIN,female,"Anglicized form of Irish Gaelic Cailín , meaning `` girl . ''",English
KAYLY,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KAYLYN,female,"Variant spelling of English Kaylin , meaning `` girl . ''",English
KAYLYNN,female,"Variant spelling of English Kaylin , meaning `` girl . ''",English
KEARA,female,"Anglicized form of Irish Gaelic Ciara , meaning `` little black one . ''",English
KEAVY,female,"Anglicized form of Irish Gaelic Caoimhe , meaning `` beloved , comely . ''",English
KEELAN,female,"Irish surname transferred to unisex forename use , from a contracted form of the surname Keelahan , an Anglicized form of Gaelic Ó Céileacháin , `` descendant of Ceileachain , '' hence `` little companion . ''",English
KEELEIGH,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KEELEY,female,"Irish surname transferred to forename use , derived from the English personal name Kayley , meaning `` slender . ''",English
KEELIN,female,"Variant spelling of English unisex Keelan , meaning `` little companion . ''",English
KEELY,female,"Variant spelling of English Keeley , meaning `` slender . ''",English
KEEVA,female,"Anglicized form of Irish Gaelic Caoimhe , meaning `` beloved , comely . ''",English
KEIGHLEY,female,"Variant spelling of English Kayley , meaning `` slender . ''",English
KEILA,female,"Probably a variant spelling of English Kayla , meaning `` slender . ''",English
KEIRA,female,"Variant spelling of English Keara , meaning `` little black one . ''",English
KEISHA,female,"Modern form of English Keziah , meaning `` cassia , '' a bark similar to cinnamon",English
KEITHA,female,"English feminine form of Scottish Keith , probably meaning `` forest , wood . ''",English
KEITHIA,female,"Variant spelling of English Keitha , probably meaning `` forest , wood . ''",English
KELAN,female,"Variant spelling of English unisex Keelan , meaning `` little companion . ''",English
KELCEY,female,"Variant spelling of English unisex Kelsey , meaning `` ship-victory . ''",English
KELIA,female,"Feminine variant spelling of English unisex Kelly , meaning `` bright-headed . ''",English
KELL,female,"Short form of English unisex Kelly , meaning `` bright-headed . ''",English
KELLEIGH,female,"Feminine form of English unisex Kelly , meaning `` bright-headed . ''",English
KELLI,female,"Feminine form of English unisex Kelly , meaning `` bright-headed . ''",English
KELLEY,female,"Variant spelling of English unisex Kelly , meaning `` bright-headed . ''",English
KELLY,female,"Anglicized unisex form of Irish Gaelic Ceallach , meaning `` bright-headed . ''",English
KELSEY,female,"English surname transferred to unisex forename use , derived from the Old Anglo-Saxon personal name Céolsige , meaning `` ship-victory . ''",English
KELSI,female,"Feminine form of English unisex Kelsey , meaning `` ship-victory . ''",English
KELSIE,female,"Feminine form of English unisex Kelsey , meaning `` ship-victory . ''",English
KENDA,female,"Feminine short form of English unisex Kendall , meaning `` exalted effigy . ''",English
KENDAL,female,"Variant spelling of English unisex Kendall , meaning `` exalted effigy . ''",English
KENDALL,female,"English surname transferred to unisex forename use , derived from the Welsh masculine personal name Cynddelw , meaning `` exalted effigy . ''",English
KENDRA,female,"Feminine form of English Kendrick , meaning `` keen power . ''",English
KENINA,female,"Feminine form of English Kenneth , meaning both `` comely ; finely made '' and `` born of fire . ''",English
KENNA,female,"Feminine form of English Kenneth , meaning both `` comely ; finely made '' and `` born of fire . '' Compare with another form of Kenna",English
KENNEDY,female,"Irish surname transferred to unisex forename use in honor of the assassinated American president John F. Kennedy , from an Anglicized form of Gaelic Cinnéidigh , meaning `` ugly head . ''",English
KENYA,female,"Modern English name derived from the country name which was derived from the name of a mountain , probably from Kiinyaa , the Wakamba tribe 's name for the mountain , meaning `` mountain of the ostrich , '' because the mountain is said to have certain features of the ostrich when it is snow-covered . Compare with masculine Kenya",English
KENZIE,female,"Short form of Scottish unisex Mackenzie , meaning `` comely , finely made . ''",English
KEREN,female,"Anglicized form of Hebrew Qeren , meaning `` horn ( of an animal ) . '' Also a short form of Keren-happuch , meaning `` horn of antimony , '' a black paint used for eye-shadow",English
KERENA,female,"Variant form of English Keren , meaning `` horn ( of an animal ) . ''",English
KEREN-HAPPUCH,female,"Anglicized form of Hebrew Qeren happuwk , meaning `` horn of antimony , '' a black paint used for eye-shadow . In the bible , this is the name of one of Job 's daughters born after his trial",English
KERENHAPPUCH,female,"Variant spelling of English Keren-happuch , meaning `` horn of antimony , '' a black paint used for eye-shadow",English
KEREN-HAPUCH,female,"Variant spelling of English Keren-happuch , meaning `` horn of antimony , '' a black paint used for eye-shadow",English
KERENHAPUCH,female,"Variant spelling of English Keren-happuch , meaning `` horn of antimony , '' a black paint used for eye-shadow",English
KERENSA,female,"English name derived from the Cornish word kerensa , meaning `` love . ''",English
KERENZA,female,"Variant spelling of English Kerensa , meaning `` love . ''",English
KERI,female,"Feminine variant spelling of English unisex Kerry , meaning `` Ciar 's people . ''",English
KERRI,female,"Feminine variant spelling of English unisex Kerry , meaning `` Ciar 's people . ''",English
KERRIE,female,"Variant spelling of English unisex Kerry , meaning `` Ciar 's people . ''",English
KERRY,female,"English unisex name derived from the name of an Irish county , Ciarraí , meaning `` Ciar 's people . '' Variant spelling of English Carrie , meaning `` man . ''",English
English,female,"unisex name derived from the name of an Irish county , Ciarraí , meaning `` Ciar 's people . ''",English
Variant,female,"spelling of English Carrie , meaning `` man . ''",English
KERSTIN,female,"Low German form of Latin Christina , meaning `` believer '' or `` follower of Christ . '' Swedish form of Latin Christina , meaning `` believer '' or `` follower of Christ . ''",English
Low,female,"German form of Latin Christina , meaning `` believer '' or `` follower of Christ . ''",English
Swedish,female,"form of Latin Christina , meaning `` believer '' or `` follower of Christ . ''",English
KESHIA,female,"Variant form of English Keisha , meaning `` cassia , '' a bark similar to cinnamon",English
KESTREL,female,"English name derived from the name of the bird of prey , from Old French cresserelle , a derivative of cressele , meaning `` rattle , '' in reference to the sound of the bird 's cry",English
KETURAH,female,"Anglicized form of Hebrew Qetuwrah , meaning `` incense . '' In the bible , this is the name of Abraham 's second wife",English
KETZIA,female,"Variant spelling of English Kezia , meaning `` cassia , '' a bark similar to cinnamon",English
KEYSHA,female,"Variant spelling of English Keisha , meaning `` cassia , '' a bark similar to cinnamon",English
KEZIA,female,"Anglicized form of Hebrew Qetsiyah , meaning `` cassia , '' a bark similar to cinnamon . In the bible , this is the name of the second daughter of Job , born after his trial",English
KEZIAH,female,"Variant spelling of English Kezia , meaning `` cassia , '' a bark similar to cinnamon",English
KIARA,female,"Anglicized form of Irish Gaelic Ciara , meaning `` little black one . ''",English
KIARRA,female,"Variant spelling of English Kiara , meaning `` little black one . ''",English
KIERA,female,"Variant spelling of English Kiara , meaning `` little black one . ''",English
KIERRA,female,"Variant spelling of English Kiara , meaning `` little black one . ''",English
KIERSTEN,female,"Modern English spelling of Old English Kirsten , meaning `` stone church , '' or Danish/Norwegian Kirsten , meaning `` believer '' or `` follower of Christ . ''",English
KIKI,female,English pet form of names beginning with the letter `` K . '',English
KILEY,female,"Variant spelling of English Kylie , meaning `` slender . '' Compare with another form of Kiley",English
KILIE,female,"Variant spelling of English Kylie , meaning `` slender . '' Compare with another form of Kilie",English
KIM,female,"Short form of English unisex Kimberley , meaning `` King 's City Meadow . '' Compare with another form of Kim",English
KIMBERLEE,female,"Feminine form of English unisex Kimberley , meaning `` King 's City Meadow . ''",English
KIMBERLEIGH,female,"Feminine form of English unisex Kimberley , meaning `` King 's City Meadow . ''",English
KIMBERLEY,female,"English surname transferred to unisex forename use , from the name of a South African town first brought to the public 's notice by the Boer War in the 19th century . The town was named for Lord Kimberley whose ancestors derived their name from a place in England composed of the Old English elements cyne `` king , '' burg `` city '' and leah `` meadow , pasture , '' hence `` King 's City Meadow . ''",English
KIMBERLY,female,"Feminine form of English unisex Kimberley , meaning `` King 's City Meadow . ''",English
KIMBERLYN,female,Modern English blend of Kimberly `` King 's City Meadow '' and Lynn `` lake . '',English
KIMBRA,female,"Pet form of English Kimberly , meaning `` King 's City Meadow . ''",English
KIMMY,female,"Pet form of English Kimberly , meaning `` King 's City Meadow . ''",English
KINBOROUGH,female,"Medieval English form of Anglo-Saxon Cyneburga , meaning `` royal fortress . ''",English
KINGSLEY,female,"English surname transferred to unisex forename use , from the name of various places called Cyningesleah , composed of the Old English elements cyne `` king , '' and leah `` meadow , pasture , '' hence `` king 's meadow . ''",English
KIRSTEEN,female,"Variant spelling of Scottish Kirstin , meaning `` believer '' or `` follower of Christ . ''",English
KIRSTEN,female,Old English name meaning `` stone church . '' Compare with another form of Kirsten,English
KIRSTI,female,"Finnish form of Latin Christina , meaning `` believer '' or `` follower of Christ . ''",English
KIRSTIE,female,"Pet form of Scottish Kirstin , meaning `` believer '' or `` follower of Christ . ''",English
KIRSTIN,female,"Variant spelling of Scottish Kirstine , meaning `` believer '' or `` follower of Christ . ''",English
KIRSTINE,female,"Scottish form of Latin Christina , meaning `` believer '' or `` follower of Christ . ''",English
KIRSTY,female,"Pet form of Scottish Kirstine , meaning `` believer '' or `` follower of Christ . ''",English
KISHA,female,"Variant spelling of English Keisha , meaning `` cassia , '' a bark similar to cinnamon",English
KIT,female,"Pet form of English Katherine , meaning `` pure . '' Compare with masculine Kit",English
KITTI,female,"Variant spelling of English Kitty , meaning `` pure . '' Compare with another form of Kitti",English
KITTY,female,"Pet form of English Katherine , meaning `` pure . ''",English
KIZZIE,female,"Pet form of English Keziah , meaning `` cassia , '' a bark similar to cinnamon",English
KIZZY,female,"Variant spelling of English Kizzie , meaning `` cassia , '' a bark similar to cinnamon",English
KLARA,female,"English form of Latin Clara , meaning `` clear , bright . ''",English
KLAUDIA,female,"English variant spelling of Roman Latin Claudia , meaning `` lame . '' Compare with another form of Klaudia",English
KODEY,female,"Variant spelling of English unisex Kody , meaning `` helper . ''",English
KODY,female,"Variant spelling of English unisex Cody , meaning `` helper . ''",English
KOLLEEN,female,"Variant spelling of English Colleen , meaning `` girl . ''",English
KOLOUR,female,English variant of the word `` color '' used as a name,English
KORRINE,female,"English variant spelling of French Corinne , meaning `` maiden . ''",English
KORTNEY,female,"Variant spelling of English unisex Courtney , meaning `` short nose . ''",English
KOURTNEY,female,"Variant spelling of English unisex Courtney , meaning `` short nose . ''",English
KRIS,female,English unisex short form of longer names beginning with Kris-,English
KRISSY,female,"Variant spelling of English Chrissy , meaning `` believer '' or `` follower of Christ . ''",English
KRISTA,female,"Variant spelling of Latin Christa , meaning `` believer '' or `` follower of Christ . '' Compare with another form of Krista",English
KRISTAL,female,"Variant spelling of English Crystal , meaning `` crystal , ice . ''",English
KRISTEEN,female,"English form of French Christine , meaning `` believer '' or `` follower of Christ . ''",English
KRISTEL,female,"Variant spelling of English Crystal , meaning `` crystal , ice . ''",English
KRISTEN,female,"German form of French Christine , meaning `` believer '' or `` follower of Christ . ''",English
KRISTI,female,"Variant spelling of English Kristy , meaning `` believer '' or `` follower of Christ . '' Compare with another form of Kristi",English
KRISTIA,female,"English variant spelling of French Christia , meaning `` believer '' or `` follower of Christ . ''",English
KRISTIE,female,"Variant spelling of English Kristy , meaning `` believer '' or `` follower of Christ . ''",English
KRISTIN,female,"Short form of Scandinavian Kristina and English Kristina , both meaning `` believer '' or `` follower of Christ . ''",English
KRISTINA,female,"English variant spelling of Latin Christina , meaning `` believer '' or `` follower of Christ . '' Compare with another form of Kristina",English
KRISTINE,female,"English variant spelling of French Christine , meaning `` believer '' or `` follower of Christ . '' Compare with another form of Kristine",English
KRISTY,female,"Variant spelling of English Christy , meaning `` believer '' or `` follower of Christ . ''",English
KRYSTAL,female,"Variant spelling of English Crystal , meaning `` crystal , ice . ''",English
KRYSTELLE,female,"Variant spelling of English Crystal , meaning `` crystal , ice . ''",English
KRYSTEN,female,"English variant spelling of German Kristen , meaning `` believer '' or `` follower of Christ . ''",English
KRYSTINA,female,"English variant spelling of Latin Christina , meaning `` believer '' or `` follower of Christ . ''",English
KRYSTINE,female,"English variant spelling of French Christine , meaning `` believer '' or `` follower of Christ . ''",English
KRYSTLE,female,"Variant spelling of English Crystal , meaning `` crystal , ice . ''",English
KYM,female,"Feminine form of English unisex Kim , meaning `` King 's City Meadow . ''",English
KYRSTEN,female,"English form of Scottish Kirsten , meaning `` believer '' or `` follower of Christ . ''",English
LACEY,female,"Variant spelling of English Lacy , meaning `` lace-like . ''",English
LACIE,female,"Variant spelling of English Lacy , meaning `` lace-like . ''",English
LACY,female,"English name derived from the vocabulary word , meaning `` lace-like . ''",English
LADONNA,female,"Elaborated form of English Donna , meaning `` lady . ''",English
LADY,female,"Pet form of English Adelaide , meaning `` noble sort . '' In some instances it may be derived from the vocabulary word , meaning simply `` lady . ''",English
LAGINA,female,"Modern elaborated form of English Gina , meaning `` earth-worker , farmer . ''",English
LAIDEY,female,"Variant spelling of English Lady , meaning `` noble sort . ''",English
LAINEY,female,"English pet form of French Elaine , possibly meaning `` torch . ''",English
LAKEISHA,female,"Elaborated form of English Keisha , meaning `` cassia , '' a bark similar to cinnamon",English
LAKESHIA,female,"Variant spelling of English Lakeisha , meaning `` cassia , '' a bark similar to cinnamon",English
LAKISHA,female,"Variant spelling of English Lakeisha , meaning `` cassia , '' a bark similar to cinnamon",English
LALLA,female,"English pet form of Greek Lalage , meaning `` to babble . ''",English
LALLIE,female,"English pet form of Greek Lalage , meaning `` to babble . ''",English
LALLY,female,"Variant spelling of English Lallie , meaning `` to babble . ''",English
LANA,female,"Short form of Latin Alana , possibly meaning `` little rock . '' Compare with other forms of Lana",English
LANEY,female,"Variant spelling of English Lainey , possibly meaning `` torch . ''",English
LARA,female,"English variant spelling of Latin Laura , meaning `` laurel . '' Compare with another form of Lara",English
LARAINE,female,"English variant spelling of French Lorraine , meaning `` land of the people of Lothar . ''",English
LAREYNA,female,"English elaborated form of French Lorraine , meaning `` land of the people of Lothar . ''",English
LARI,female,"English pet form of Latin Laura , meaning `` laurel . ''",English
LARK,female,"English unisex name derived from the vocabulary word , from Old English lawcere , meaning `` song-bird . ''",English
LARYN,female,"Variant spelling of English Lauren , meaning `` of Laurentum . ''",English
LASHAWN,female,"Modern feminine form of English Shawn , meaning `` God is gracious . ''",English
LASHAY,female,"Elaborated feminine form of English unisex Shay , probably meaning `` strong . ''",English
LASHONDA,female,"Elaborated form of English Shawna , meaning `` God is gracious . ''",English
LATANYA,female,"English elaborated form of Latin Tania , probably meaning `` father . ''",English
LATASHA,female,"English elaborated form of Russian Tasha , meaning `` birthday , '' or in Church Latin `` Christmas day . ''",English
LATISHA,female,"Variant spelling of English Letitia , meaning `` happiness . ''",English
LATONYA,female,"Elaborated form of English Tonya , possibly meaning `` invaluable . ''",English
LATOYA,female,"Elaborated form of English Toya , probably meaning `` toy . ''",English
LAUDINE,female,"French name , possibly a diminutive form of Latin laude ( `` praise '' ) , hence `` little praiseworthy one . '' In Arthurian legend , Laudine is known as the Lady of the Fountain , the ruler of the mystical Castle of Landuc near a magical spring in Broceliande Forest guarded by her husband Esclados . When water from this magic spring was poured onto a nearby basin , a huge storm would begin . Calogrenant did this and was beaten for it . To avenge his cousin , Ywain killed Esclados . He fell instantly in love with Laudine the moment he saw her . Laudine 's servant Lunete talked her into marrying him",English
LAURA,female,"Feminine form of Latin Laurus , meaning `` laurel . '' Or from Greek Lavra , meaning `` an alley , a passage . ''",English
LAURAINE,female,"English variant spelling of French Lorraine , meaning `` land of the people of Lothar . ''",English
LAUREEN,female,"English pet form of Latin Laura , meaning `` laurel . ''",English
LAUREL,female,"English name derived from the tree name . It is also used as a pet form of Latin Laura , meaning `` laurel . ''",English
LAURELLE,female,"Elaborated form of English Laurel , meaning `` laurel . ''",English
LAUREN,female,"Unisex form of English Laurence , meaning `` of Laurentum . ''",English
LAURENA,female,"Variant spelling of English Lorena , meaning `` of Laurentum . ''",English
LAURENCIA,female,"Feminine form of English Laurence , meaning `` of Laurentum . ''",English
LAURENE,female,"Variant spelling of English Lauren , meaning `` of Laurentum . ''",English
LAURIE,female,"Unisex pet form of English Lauren and Laurence , both meaning `` of Laurentum . ''",English
LAURINDA,female,"English elaborated form of Latin Laura , meaning `` laurel . ''",English
LAURINE,female,"English pet form of Latin Laura , meaning `` laurel . ''",English
LAURISSA,female,"English pet form of Latin Laura , meaning `` laurel . ''",English
LAURYN,female,"Variant spelling of English Lauren , meaning `` of Laurentum . ''",English
LAVENA,female,"American English name , probably derived from the name of the famous Caffé Lavena in Venus , Italy , established by Carlos Lavena in 1750 , from Latin Lavinia , possibly meaning `` purity . ''",English
LAVENDER,female,"English color and flower name derived from the vocabulary word , from Anglo-Saxon lavendre , from Late Latin lavendula which may ultimately derive from lividus , meaning `` bluish , livid . '' Since 1840 , the word has had the meaning `` pale purple . ''",English
LAVERN,female,"Variant spelling of English Laverne , possibly meaning `` spring-like ; to be verdant . '' Compare with masculine Lavern",English
LAVERNE,female,"English form of Roman Latin Laverna , possibly meaning `` spring-like ; to be verdant . '' Compare with masculine Laverne",English
LAVONE,female,"Variant spelling of English Lavonne , meaning `` yew tree . ''",English
LAVONNE,female,"Modern English elaborated form of French Yvonne , meaning `` yew tree . ''",English
LAWANDA,female,"Modern English elaborated form of German Wanda , meaning '' a Wend ; a wanderer . '' A Wend was a term used torefer to migrant Slavs in the sixth century",English
LAYTON,female,"Variant spelling of English unisex Leighton , meaning `` leek garden . ''",English
LEA,female,Old English name meaning `` meadow . '' Compare with another form of Lea,English
LEAH,female,"Variant spelling of Old English Lea , meaning `` meadow . '' Compare with other forms of Leah",English
LEANN,female,"English compound name composed of Lea `` meadow '' and Ann `` favor ; grace , '' hence `` graceful meadow . ''",English
LEANNA,female,"English compound name composed of Lea `` meadow '' and Anna `` favor ; grace , '' hence `` graceful meadow . ''",English
LEANNE,female,"English compound name composed of Lea `` meadow '' and Anne `` favor ; grace , '' hence `` graceful meadow . ''",English
LEANORA,female,"Short form of Latin Eleanora , meaning `` foreign ; the other . ''",English
LEATRICE,female,"Modern English blend of Hebrew Leah `` weary '' and Italian Beatrice `` voyager ( through life ) , '' hence `` weary voyager . ''",English
LEDA,female,"Greek name meaning `` woman . '' In mythology , this is the name of the mother of Castor , Pollux and Helen",English
LEE,female,"English surname transferred to unisex forename use , from the Old English word leah , meaning `` meadow . ''",English
LEEANN,female,"English compound name composed of Lee `` meadow '' and Ann `` favor ; grace , '' hence `` graceful meadow . ''",English
LEENA,female,"Variant spelling of English Lina , a short form of names ending with -lina . Compare with other forms of Leena",English
LEESA,female,"Variant spelling of English Lisa , meaning `` God is my oath . ''",English
LEIA,female,"English variant spelling of Hebrew Leah , meaning `` weary . '' Compare with another form of Leia",English
LEIGH,female,"Variant spelling of English unisex Lee , meaning `` meadow . ''",English
LEIGHTON,female,"English surname transferred to unisex forename use , composed of the Old English elements leac `` leek '' and tun `` enclosure , settlement , '' hence `` leek garden . ''",English
LENA,female,"Pet form of English Eleanor , meaning `` foreign ; the other . ''",English
LENORA,female,"Pet form of Latin Eleanora , meaning `` foreign ; the other . ''",English
LENORE,female,"Variant spelling of Latin Lenora , meaning `` foreign ; the other . ''",English
LEOLA,female,"English feminine form of Latin Leo , meaning `` lion . '' Compare with another form of Leola",English
LEONA,female,"Feminine form of Latin Leo , meaning `` lion . ''",English
LEONE,female,"English variant spelling of Latin Leona , meaning `` lion . '' Compare with masculine Leone",English
LEONORA,female,"Short form of Italian Eleanora , meaning `` foreign ; the other . ''",English
LEONORE,female,"Short form of German Eleonore , meaning `` foreign ; the other . ''",English
LEONTYNE,female,"English form of French Léontine , meaning `` lion-like . ''",English
LES,female,"Short form of English unisex Lesley , meaning `` garden of hollies . ''",English
LESIA,female,"Elaborated form of English Lisa , meaning `` God is my oath . ''",English
LESLEIGH,female,"Feminine form of English unisex Lesley , meaning `` garden of hollies . ''",English
LESLEY,female,"Anglicized form of Scottish unisex Leslie , meaning `` garden of hollies . ''",English
LESLIE,female,"Scottish surname transferred to unisex forename use , from the place name Lesslyn in Aberdeenshire which got its name from Gaelic leas cuilinn , meaning `` garden of hollies . ''",English
LESLY,female,"Variant spelling of English unisex Lesley , meaning `` garden of hollies . ''",English
