sentence,no_change,summarizing
"חבר קיבוץ וחבר מושב שיתופי - לא זכאים לדמי אבטלה, אלא אם הם עובדים כשכירים מחוץ למשק או אם הקיבוץ מעסיק אותם כשכירים.",0,1
"תלמידים במצב חירום בנסיבות מיוחדות מאוד, והעובד הסוציאלי שהוא פקיד סעד לחוק נוער סבור כי יש לדון בעניינים בוועדת השמה, מטעמים שיירשמו ויקבלו אישור בוועדת חריגים שתוקם במחוז למטרה זו.",0,1
"אם קיבלתם הודעה מהוועדה שאין צורך באבחון, קיבלתם בעצם בשורה משמחת ומרגיעה.",0,1
"מתוכם, מהווים בני השמונים ומעלה את קבוצת הגיל הגדלה במהירות הרבה ביותר.",0,1
מרגע שליחת ההפניה אתם נמצאים בתהליך הבירור.,0,1
ברוב מדינות המערב וגם בישראל שיעורם של בני הגיל השלישי באוכלוסיה נמצא בעלייה מתמדת.,0,1
האם הוא חולה?,1,0
נהלי הרישום מתבצע לאחר ועדת השמה הקובעת את הזכאות לחינוך מיוחד ולאחר ועדת שיבוץ המשבצת את הילד למסגרת המתאימה לצרכיו.,0,1
צריך לזכור שתינוק לא מחמם את הגוף שלו כמו מבוגר.,1,0
"ראשית, כל המשלם בהוראת קבע יקבל הנחה בשיער של 1% מחיוב הארנונה התקופתי למעט משלם אשר חיובו השנתי מעל ל-100,000 שקלים אשר לא יזוכה בהנחה אך יוכל לחלק את התשלום ל-12 תשלומים.",0,1
תינוקות - יותר מאשר ילדים ומבוגרים - מתקשים לשמור על חום גופם.,0,1
"אם ההפרשה מרובה, יש לפנות לרופא כדי לקבל טיפול.",0,1
הטיפול בקטואצידוזיס כולל מתן נוזלים רבים ומתן אינסולין כדי להוריד את השיעור הגבוה של הסוכר ושל גופי הקטו שנוצרו.,0,1
"בדרך־כלל הוא לא נראה כפי שדמיינתם אותו במהלך ההריון, אבל בתוך זמן קצר תגלו את המיוחד שבו.",0,1
"בכל מקרה, אם נוסעים עם אסתמה מומלץ להתייעץ הן עם הרופא או הרופאה במרפאת־המטיילים והן עם הרופא או הרופאה המבצעים את המעקב אחר האסתמה ולגבש תוכנית פעולה ברורה למקרה שיופיעו סיבוכים (למשל: שמות וכתובות מדויקים של מרפאות או בתי־חולים אמינים ביעדים השונים וכיצד בדיוק מגיעים אליהם).",0,1
"בכל מקרה, יש לשמור על אוויר לח בחדר באמצעות מגבת לחה או כלי עם מעט מים במקום שאליו התינוק לא יכול להגיע.",0,1
"אין כמו המגע, החיבוק, הבעת הפנים והקול המרגיע שלכם כדי לתת לו ביטחון בעולם החדש שאליו יצא.",0,1
"שינוי בהתנהגות הרגילה של התינוק: אי־שקט מסיבה לא ברורה הנמשך כמה שעות או, לחלופין, התינוק ישנוני, מסרב לאכול ובוכה בכי חלש.",0,1
"אם המעשן מסרב לכבות את הסיגריה, הסבר למעשן שהוא לא יקבל שירות אם ימשיך לעשן וכי הוא מתבקש לעזוב את המקום.",0,1
כדאי לנקות את אזור ההחתלה במים פושרים ובעת הצורך אפשר לשטוף אותו גם מתחת לברז.,0,1
"שלב שלישי: סיכום הדיון וקביעת אחוז הנכות הרפואית לאחר שתעזוב את חדר הוועדה, הרופא יקריא למזכיר את הממצאים הרפואיים שמצא, ויקבע את החלטתו בהתאם למסמכים הרפואיים שבתיק, הקשיים שציינת והבדיקה שערך.",0,1
תינוקות יונקים בין היתר בריאים יותר וסובלים פחות ממחלות בילדות וכמבוגרים.,0,1
"השאלונים יאפשרו לוועדה להתרשם מצורכי הילד, לזהות את קשייו ולהגדיר את ההתייחסות הנדרשת.",0,1
החוק חל גם על מקומות עבודה פרטיים.,0,1
"סימני האירוע הם מתן שתן רב, בחילות, הקאות וכאבי בטן, בעיקר בילדים, סימני התייבשות ונשימות מהירות.",0,1
איך לחמם את החדר?,1,0
"הגורמים יכולים להיות רבים, ובעיקר השינויים באופי המאמץ הגופני, במעלות החום, בלחות האוויר ובאלרגנים שבסביבה.",0,1
"צריך ללמוד לזהות סימנים להתקף היפוגליקמיה - הזעה, רעב, כאבי ראש, בחילות או בלבול - ולטפל בהם באמצעות מזון או משקה עשיר בסוכר.",0,1
"אין בנמצא סטטיסטיקות ישראליות העוסקות במטיילים המבוגרים, אך במרפאות המטיילים של הכללית לא נדיר לפגוש נוסעים בני מעל 80, ולפעמים מעל 90, שיעדם ארצות־הברית או המזרח.",0,1
מחזיקים במקומות ציבוריים ו/או נושאי משרה ישאו באחריות ליישום החוק והוראותיו.,0,1
לא מקדימים את המאוחר.,0,1
"לרופא אין סמכות לדון בטיפול רפואי שאתה נזקק לו, ולכן אין טעם לבקש מהרופא בקשות הקשורות לטיפול רפואי.",0,1
לעיתים קרובות הוא עוקב במבטו ומקשיב לקולכם.,0,1
"כמות הזריקות ותזמונן במהלך היום תלויים בסוכרתי עצמו ובתגובה שלו לטיפול, וזאת בכפוף להחלטת הרופא ועל סמך בקרה צמודה של רמות הסוכר בדם.",0,1
"השילוב בין השינויים הגופניים המלווים את העלייה בגיל לבין מחלות כרוניות, ששיעורן הולך ועולה עם הגיל, מוביל לירידה בתפקודים השונים וכך גם בסיבולת הלב־ריאה, בתגובתיות פחותה לירידה במתח החמצן (היפוקסיה), לירידה בתפקוד הכלייתי ולירידה ביכולת לשמר נוזלים.",0,1
המים צריכים להיות בטמפרטורה של 38-37 מעלות - ניתן למדוד באמצעות מד חום או אמת ההורה.,0,1
"הנחיות פעולה לבעל עסק הנתקל בעישון מחזיק במקום ציבורי חייב לתלות שילוט האוסר על העישון במקום, לדאוג לתקינות השילוט וכן אסור עליו להציב מאפרות במקום בו חל האיסור לעשן.",0,1
היתרון העיקרי בתשלום זה הוא יתרון  הנוחות והמהירות.,0,1
כמו כן לומדים כיצד ניתן לתקשר איתו ולהרגיעו.,0,1
"ועדת העברות כוללת נציגות פיקוח, נציגות מהשפ""ח ונציגות מהאגף לחנ""מ.",0,1
"אם לגופיות תפרים בולטים, אפשר להפוך את הגופייה הקרובה לגוף כדי למנוע  גירוי בעור העדין.",0,1
איך להלביש את התינוק?,1,0
"חדר או אולם הפתוחים לציבור בבנק, בבית דואר או בסוכנות דואר או במקום אחר המשמש לקהל או חדר,אולם או מסדרון המשמש להמתנה, למעט חדר נפרד לחלוטין שהוקצה לעישון בידי הנהלת המקום, אם הוקצה, ובלבד שיש בו סידורי אוורור תקינים והעישון בו אינו גורם למטרד בחלקים אחרים של המקום, לרבות חדר מדרגות ומעבר.",0,1
"עד מהרה תלמדו את התנהגות תינוקכם בנוגע ליציאות, ולפי זה תכוונו את שעת החלפת החיתול.",0,1
תוכלו לשלם בשתי דרכים: תשלום אחד על מלוא הסכום השנתי שישולם עד ל-31 בינואר של שנת המס אשר יבטיח שלא תשלמו הפרשי הצמדה על חיובי שנת המס השוטפת.,0,1
"לקראת היום השלישי הירידה מתונה יותר, ולאחר 14-10 ימים אנחנו מצפים שהתינוק יחזור למשקל הלידה.",0,1
"שים לב, אם נפגעת בזמן שעשית מעשה פשע או בזמן שעברת עבירה שיש בה זדון או רשלנות פושעת, לא תוכר כנפגע פעולות איבה.",0,1
"חשוב להדגיש, כי אין חובה להקצות חדר עישון.",0,1
מדובר בחלק מההסתגלות לאוויר אחרי זמן רב בסביבה מימית.,0,1
"אם למרות נקיטת צעדים אלו, אדם מפר את הוראות החוק מומלץ לפעול על פי הצעדים הבאים:הפנה את תשומת לבו של המעשן לכך שהעישון אסור במקום ולשילוט האוסר על עישון, ודרוש בנימוס לחדול מיד מהעישון או לחילופין לצאת ולעשן מחוץ למקום.",0,1
פגיעה ממעשה אלימות שמטרתו העיקרית פגיעה באדם בשל השתייכותו למוצא לאומי-אתני ושנובע מהסכסוך הישראלי-ערבי.,0,1
"תשלום דו חודשי המתבצע עד ה-14 לחודש אי זוגי, כלומר – עד 13, 15, 17 וכן הלאה.",0,1
"אם מדובר במסמכים רפואיים נוספים, תתבקש להגיש אותם, ואם בבדיקות רפואיות, תתבקש לבצע את הבדיקות.",0,1
"האם אנחנו ""זקנים מדי"" כדי לנסוע?",1,0
"מניחים שישנם גורמים רבים המשפיעים על הופעת המחלה ובהן: תורשה, תזונה לקויה, תגובה של מערכת החיסון ומחלות נגיפיות.",0,1
"קריטריונים להסעה תלמידי החינוך המיוחד, החל מכיתות הגן גילאי 3 ועד גיל 21, המשובצים במוסדות החינוך המיוחד זכאים להסעה מאורגנת מיוחדת, ללא קשר להגבלת המרחק: עיכוב התפתחות, הפרעת תקשורת, תלמידים עם מגבלה שכלית קשה/עמוק וסיעודי, משותקי מוחין ובעלי נכויות פיזיות קשות, אוטיסטים/ASD, בעלי הפרעות נפשיות קשות וחולי נפש, תלמידים בעלי מגבלה שכלית בינונית רב- בעייתי, תלמידים בעלי מגבלה שכלית קשה/עמוקה/סיעודית, חירשים וכבדי שמיעה, עיוורים ולקויי ראייה.",0,1
אנשי המקצוע האלה יבדקו ביסודיות את החומר שהוגש.,0,1
הטיפול באינסולין טומן בחובו סיכונים.,0,1
התינוק החדש מבלה את רוב שעות היממה במיטה.,0,1
אני רוצה להיניק אבל הגעתי הביתה והשדיים כואבים.,1,0
האחריות למניעת חשיפת הציבור לעישון כפוי חלה גם על מניעת חשיפת העובדים במקום ציבורי.,0,1
"חולים בסוכרת מבוגרים יכולים להסתדר בדרך כלל רק בעזרת דיאטה מתאימה או בעזרת שילוב של דיאטה ושל כדורים, ללא צורך בנטילת אינסולין, לפחות בשנים הראשונות אחרי גילוי מחלתם.",0,1
"בתוך זמן מה תלמדו להכיר את התינוק, להבחין בין בכי הנובע מרעב או מסיבות אחרות ולהיענות לצרכיו.",0,1
מהי סוכרת נעורים?,1,0
"מהניסיון המצטבר ידוע שכ־10% מהילדים מפגינים קשיים שונים בהתפתחותם, אך רק אצל חלקם מאובחן קושי משמעותי וכרוני.",0,1
"הוועדה כוללת רופא מומחה שתפקידו לקבוע את דרגת הנכות שלך, ומזכיר שתפקידו לרשום את דבריך ואת פרוטוקול הוועדה ולדאוג לשמירה על זכויותיך.",0,1
ההפרשה הזאת נובעת מהורמונים שעברו מהאם אל הבת דרך השליה.,0,1
חדר או אולם פתוח לציבור המשמש לפעילות גופנית או לספורט.,0,1
"בכי ואי־שקט של תינוק יכולים לנבוע ממגוון רב של סיבות: רעב, כאב בטן, חוסר נוחות עקב התנוחה שבה הוא מונח, חיתול מלוכלך ורטוב, סביבה חמה מדי או קרה מדי, לאחר ארוחה - בגלל נוכחות של בועת אוויר שטרם השתחררה.",0,1
מומלץ להכין מראש את כל הציוד הדרוש לאמבטיה.,0,1
מטיילים מעל גיל 60 (ומומלץ גם מעל גיל .) טוב יעשו אם יפנו לייעוץ מסודר במרפאת מטיילים של הכללית לפחות ארבעה עד שישה שבועות טרם הנסיעה.,0,1
האם ההורמונים של האם משפיעים גם על התינוק?,0,1
נוסעים עם מחלת־לבציוד ותרופות:מטיילים חולי לב צריכים להצטייד במכתב מפורט באנגלית המתאר את מצבם ואת ההליכים הרפואיים שעברו.,0,1
"עובד שכיר שמעסיקו אינו תושב ישראל או עובד בשירות דיפלומטי או קונסולרי של מדינת חוץ, יכולים להיות זכאים לדמי אבטלה למרות שהמעסיק שלהם אינו חייב בתשלום דמי ביטוח עבורם, והם משלמים את דמי הביטוח עבור עצמם.",0,1
לאחר שתתקבל החלטה בתביעתך תישלח אליך הודעה אליה יצורף עותק מהפרוטוקול הרפואי של הוועדה.,0,1
הניטור הצמוד במקרים האלה הוא חשוב ביותר כדי למנוע מעבר למצב של היפוגליקמיה (תת סוכר בדם) בעקבות עודף האינסולין שניתן כדי לבלום את ההידרדרות במצב החולה.,0,1
"המחזיק במקום ציבורי חייב להציב שילוט המורה על איסור עישון במקום וכן חל איסור על הצבת מאפרות במקום, למעט בחדר עישון, במידה ויש.",0,1
"בנוסף לאלה, הירידה - הטבעית עם הגיל - בהפרשת חומצות הקיבה כרוכה ברגישות גבוהה יותר לזיהומי מעיים ממגוון של מחוללים.",0,1
לאחר מכן מרחו על המקום משחה מגינה.,0,1
לעיתים הוא רק רוצה את קרבתכם ואת תשומת ליבכם.,0,1
"נוסעים עם אסתמה ציוד ותרופות: מטיילים הסובלים מאסתמה צריכים להצטייד במלאי מתאים של תרופות, הן תרופות קבועות (משאפים למיניהם) והן תרופות לטיפול בהחמרה פתאומית במחלה (תכשירי סטרואידים).",0,1
"אלה הם הנפוצים ביותר: סוכרת נעורים, הנקראת גם סוכרת מסוג 1 או סוכרת תלוית אינסולין.",0,1
"מקלט ציבורי ומחסה ציבורי כהגדרתם בסעיף 11 לחוק ההתגוננות האזרחית, התשי""א -  1951 כל מקום בבניין של בית כנסת, כנסייה, ח'ילווה או מסגד בחצר שלו, למעט חלק של האזור שהוקצה לעישון בידי הנהלת המקום, אם הוקצה, ובלבד שאותו חלק של האזור שהוקצה לעישון אינו מקורה בדרך כלשהי,לרבות בסככה וכיוצא בזה, שטחו רציף ואינו עולה על רבע ממקומות הישיבה באזור, ושאר האזור שמור ללא מעשנים וסומן בבירור שהעישון בו אסור.",0,1
יש להקפיד שההפניה תיעשה לא יאוחר מה- 31 במרץ מידי שנה כדי שהוועדה תסיים את הדיונים עד 15 במאי (לתלמידי בתי הספר) ועד 31 במאי (לגני ילדים) ועדת שיבוץ ועדות שיבוץ פועלות בחודשים יוני ויולי.,0,1
אין גם מה להתבייש!,1,0
"מטרתו של חוק זה למנוע את העישון במקומות ציבוריים ואת חשיפת הציבור לעישון כפוי, הגורמת למוות, למחלות ולנכות.",0,1
"יכולות להופיע נקודות שומן לבנות על האף ועל הסנטר, אך גם הן נעלמות בתוך זמן קצר.",0,1
"על פי החוק, את החיוב השנתי של הארנונה יש לשלם במלואו, בראשון לינואר של כל שנת מס, אך מועצת העיר החליטה כי ניתן לשלם את הארנונה בפריסת תשלומים נוחה תוך מתן שפע של אפשרויות תשלום.",0,1
"אם לא עשה כן - 5,000 ₪ קנס שוטרים או פקחים עירוניים שהוסמכו לכך, אחראים על אכיפת החוק ורשאים למסור דו""חות למעשן ו/או למחזיק במקום ציבורי.",0,1
הקפידו לקנות מיטה בעלת תו תקן.,0,1
מהו קצב העלייה במשקל של התינוק?,0,1
אלו הן ועדות מקצועיות שהרכבן נקבע בחוק ובידיהן הסמכות והאחריות לקבל החלטות לגבי זכאותו של תלמיד בעל צרכים מיוחדים לשירותי חינוך מיוחדים.,0,1
"חולי סוכרת החוצים יותר מארבעה אזורי זמן בכיוון מערב עשויים להזדקק למינונים גבוהים יותר של אינסולין (כיוון שהיממה מתארכת), בעוד שאלה הנוסעים מזרחה עשויים להזדקק להפחתה במינון (כיוון שהיממה מתקצרת).",0,1
מתי לפנות לטיפת חלב ולרופא הילדים?,1,0
"ב 29- למאי 2012 –ח' בסיוון התשע""ב הורחב החוק באישור ועדת העבודה הרווחה והבריאות של הכנסת ובוצעו שינויים בתוספת לחוק.",0,1
"אם קיבלתם הודעה שיש צורך באבחון, תנותבו לאיש המקצוע או לאנשי המקצוע המתאימים (את המידע על כך תקבלו ממזכירוּת המרפאה שלכם).",0,1
"שים לב, סיבת הפסקת העבודה (הוצאה לחל""ת, פיטורים או הפסקה מרצון) משפיעה על מועד תחילת התשלום - למידע נוסף על סיבות להפסקת עבודה לחץ כאן.",0,1
"כדי להקל עליכם ולסייע לכם ריכזנו כאן בעבורכם מידע על המערך העוסק בהתפתחות הילד בכללית, על זכאותכם בסל הבריאות ובכללית מושלם ועל כל מה שחשוב שתדעו בשלב הזה כדי להתחיל את תהליך הטיפול בילדכם.",0,1
הפקחים מגיבים לפניות / תלונות וכן פועלים בפעילות יזומה.,0,1
"מוסד להשכלה גבוהה או מוסד לחינוך על תיכוני שתלמידיו בגיל העולה על 18 שנים לרבות מגורי תלמידים למעט חדר נפרד שהוקצה לעישון וחדר מגורי המעשנים, חדרי הנהלה וסגל.",0,1
"ציין בפני המעשן כי בכך שהוא מעשן הוא עובר על החוק וגורם גם לך לעבור על החוק, ושניכם עלולים להיקנס בשל כך ו/או להיתבע על ידי לקוחות.",0,1
"הסיבה פשוטה: תכשירים רבים רגישים לשינויים קיצוניים בטמפרטורה (למשל, אינסולין), ופעמים רבות מידות החום והקור בתא המטען אינן מבוקרות.",0,1
"כלומר, אפילו יום עבודה אחד בחודש ייחשב לך כחודש עבודה.",0,1
הכתמים נעלמים בדרך כלל בתוך כמה חודשים.,1,0
במקרה כזה מטפל מהתחום הרלוונטי יזמן את ההורים ואת הילד לאבחון ויקבע לילד תוכנית טיפולים אישית.,0,1
מקור הכתם הזה הוא ריכוז גבוה של גבישים בשתן.,0,1
כיצד תתבצע האכיפה של החוק?,0,1
האשכים שלו נפוחים בגלל ההורמונים?,1,0
"כדי למנוע גירוי בעור, החליפו את החיתולים בזמן.",0,1
״מקום עבודה״ - כל מקום בבניין שעובדים בו אנשים ושאינו משמש למגורים.,0,1
"חשוב להתייצב בשירות התעסוקה בסמוך להפסקת העבודה גם אם הפסקת לעבוד מרצונך, כדי לממש את זכאותך לדמי אבטלה.",0,1
"תקופת החל""ת המזכה בדמי אבטלה:למי שיצא לחל""ת עד 320 - 30 יום לפחות.",0,1
"בנוסף לכך, עם הגיל, אנו נעשים רגישים יותר וחשופים יותר לסיבוכים של מחלות זיהומיות נפוצות, נגדן קיים חיסון.",0,1
"חושי הראייה, השמיעה, הטעם והריח פועלים כבר מהלידה.",1,0
"אם הוועדה תחליט שאין צורך באבחון/טיפול או אם הילד עבר אבחון בתחום המבוקש בשנה האחרונה (מתאריך יום ההולדת שלו) ואינו זכאי לאבחון נוסף על פי סל הבריאות, תתקבל במשרד המרפאה תשובה מנומקת, והיא תועבר להורה.",0,1
למידע נוסף קראו את המדריך לבטיחות תינוקות.,0,1
"עבירה על החוק הינה עבירה פלילית, הנושאת קנסות בצידה.",0,1
"ערך גלוקוזה (סוכר) של 126 מ""ג ומעלה בשתי בדיקות דם רצופות מאשש את האבחנה.",0,1
לרבות מגרשי ספורט.,0,1
"אם התבקשת להביא מסמכים נוספים לוועדה, או שיש בידך מסמכים שלא מצויים בתיק, נא הגש אותם לרופא.",0,1
"כמו כן הרופא יקבע את תאריך תחילת אחוז הנכות הרפואית, ואם הנכות הרפואית היא לתקופה זמנית או קבועה (לצמיתות).",0,1
"מקום עבודה, למעט חדר נפרד לחלוטין שהוקצה לעישון בידי הנהלת המקום, לאחר התייעצות עם העובדים.",0,1
זו בעיה חריפה נוספת שנפוצה במיוחד בקרב חולים בסוכרת נעורים.,0,1
כלל אצבע: הלבישו את התינוק במספר השכבות שנוח לכם פלוס שכבה אחת.,0,1
"ואם לא די בכך, הירידה בפעילות מערכת החיסון מכרסמת בתגובת הגוף לחיסונים הניתנים לפני הנסיעה וניכרת גם ירידה בתפקודים הנוירולוגיים – קושי לשנן ולזכור וירידה בחדות הראייה והשמיעה – מה שעלול להאט את ההסתגלות של המטיילים לסביבתם החדשה.",0,1
"למי שיצא לחל""ת מ- 20 עד 321 - 14 יום לפחות.",0,1
סוכרת הריונית.,1,0
חזרנו הביתה עם התינוק.,1,0
הודעות שיבוץ למסגרות החינוך המיוחד נשלחות להורים במשך חודשי הקיץ.,0,1
"ועדת העברות התלמיד והוריו יכולים לערער על החלטת ועדת השיבוץ בכתב למחלקה לחינוך מיוחד, לגב' אתי וקנין.",0,1
בעיות שונות עלולות לצוץ כתוצאה מירידה בלחץ החמצן ומהיובש היחסי בתא הנוסעים.,0,1
"אם החום הוא מתחת ל־36 מעלות, פנו לרופא.",1,0
"נוהל הפניית ילד לוועדת השמה לצורכי חינוך מיוחד יש להגיש את המסמכים הבאים לשירות הפסיכולוגי חינוכי לצורך הכנת תיק תלמיד לוועדת ההשמה:בקשה בכתב לוועדת השמה, חתומה על ידי הורי הילד, או אפוטרופוס חוקי.",0,1
"מנגנון ויסות החום של התינוק לא בשל בחודשים הראשונים לחייו, בין היתר משום ששכבת השומן על גופו היא דקה, ושטח עורו גדול יחסית  למשקלו.",0,1
"לכם, ההורים, יש תפקיד מרכזי בתרגול הזה, ושיתוף הפעולה שלכם הוא קריטי.",0,1
יש לו פריחה בעור.,1,0
"בחלק מן המקומות המוגדרים בחוק, ניתן להקצות חדר המיועד לעישון, שיהיה נפרד לחלוטין, מאוורר היטב, ושהעשן אינו מהווה מטרד בחלקים אחרים באותו מקום.",0,1
"אלו מקומות נחשבים כמקומות ציבורים לפי חוק ובהם העישון אסורה חוק אוסר לעשן במקומות הציבוריים המפורטים להלן:אולם המשמש בדרך כלל לבית קולנוע, לתיאטרון, להופעות, לקונצרטים, לאופרה או למחול וכן חדר או אולם המשמש לדיון, להרצאה או לישיבות, וכן המסדרונות והאכסדרות, למעט חדר נפרד לחלוטין שהוקצה לעישון בהפסקות בידי הנהלת המקום, מלבד שעומד בתנאי החוק.",0,1
עד למפגש עם הרופא יש להלביש את התינוק בשכבת בגדים נוספת ולוודא שהוא נמצא במקום שחומם היטב.,0,1
הנפיחות בעיניים מלוּוה לעיתים בהפרשה קלה הניתנת לניגוב בעדינות בעזרת מים פושרים.,0,1
יש כמה סוגים של סוכרת.,1,0
ומה בנוגע לזריקות אינסולין?,0,1
פעילות גופנית סדירה יכולה לעזור גם היא בשמירה על רמת סוכר תקינה ולמנוע סיבוכים מאוחרים.,0,1
"בשטח בית החולים או במרפאות, לרבות חצר המוסד בטווח של 10 מטר מהכניסה או מהיציאה ובחלקה פתוח לציבור בבית המרקחת.",0,1
זאת בניגוד להפרעה בייצור האינסולין שמאפיינת את סוכרת הנעורים.,0,1
"העובדים האלה לא מבוטחים בביטוח אבטלה, ולכן לא יכולים להיות זכאים לדמי אבטלה:עובד עצמאי - לבדיקת זכויות של עובדים עצמאיים ופרילנסרים בעקבות הקורונה לחצו כאן בעל שליטה בחברת מעטים - לא זכאי לדמי אבטלה גם אם הוא עובד בה כשכיר.",0,1
"אם המזגן פועל, כדאי שתי שכבות.",0,1
תינוק שנוהג לעשות את צרכיו בשעת ההנקה - אפשר להחליף לו את החיתול אחרי ההנקה.,0,1
מכתב באנגלית מהרופא או הרופאה המטפלים ובו ציון של כל המחלות הכרוניות שמהן סובלים.,0,1
"ואסור להשאיר את התינוק לבד במים, אפילו לא לחלקיק שנייה!",0,1
הנפיחות נעלמת לאחר זמן קצר.,1,0
"המלווה יכול להיות עו""ד, מתרגם, קרוב משפחה, חבר וכודומה.",0,1
ועדת השמה תשמש גם כ-וועדת ערר על החלטת ועדת השילוב המוסדות.,0,1
"כדאי שהתרופות שעימן נוסעים יהיו תואמות את הכתוב במכתב הרפואי – בייחוד נכון הדבר לגבי תרופות הניתנות בהזרקה ותרופות משככות כאבים ממשפחת הנרקוטיקה, למשל אוקסיקוד (Oxycod, Oxycodone), או אמ סי אר (MCR, Morphine) ביטוח נסיעות לחו""ל בכללית חו""ל מאפשר כיסוי לבעיות בריאות ולמחלות קיימות וכרוניות, אם נהנית מתקופת בריאות יציבה בחצי השנה שלפני הטיול בחו""ל.",0,1
עליהם להקפיד על נטילת התרופות הקבועות ולהימנע מפעילות מאומצת חריגה.,0,1
בימים הראשונים ייתכן שתראו כתם בצבע כתום בשתן המופרש על  החיתול.,0,1
"אם הוועדה תחליט שיש צורך באבחון ו/או בטיפול, יישלח מסרון לטלפון הנייד של אחד ההורים (אם השירות הזה ניתן במחוז שאליו אתם משתייכים).",0,1
חשוב שעור התינוק יישמר נקי.,0,1
"לנוחיותכם, ריכזנו מספר דרכים בהן תוכלו לשלם את חשבון הארנונה: הוראת קבע בבנק נפתח בחלון חדש טופס הוראת קבע בכרטיס האשראי - להדפסה נפתח בחלון חדש טופס הוראת קבע מקוון נפתח בחלון חדש סניפי הבנקים סניפי בנק הדואר – במזומן, המחאה או כרטיס אשראי מוקד תשלומים טלפוני – התשלום הוא באמצעות כרטיס אשראי במוקד התשלומים של אגף הגבייה.",0,1
חלב אם הוא המזון המושלם לתינוק.,0,1
"אין להציב במיטה בובות, מגן ראש או מצעים שעלולים לכסות את פני התינוק.",0,1
חניון ציבורי מקורה או תת קרקעי.,0,1
"לכן חשוב שכל חולה סוכרת שמטופל באינסולין יישא עימו משהו מתוק ואפילו מזרק גלוקגון להזרקה לשריר הירך, בדומה למזרקים האוטומטיים שמצויים בערכות האב""ך.",0,1
"בטיול ממושך, הסכנה העיקרית לחולי־לב נובעת מהעצמה בלתי־רגילה בפעילות היומיומית, שעלולה להפר את האיזון בו נמצאים חולי־לב יציבים.",0,1
"לאחר מכן, המזכיר יזמין אותך להיכנס לחדר, ותתבקש להציג תעודה מזהה עם תמונה.",0,1
מה זה קטואצידוזיס?,1,0
ניתן לקבל על פי בקשה את פרוטוקול הביניים ואת חוות הדעת שבוצעו על ידי המומחים השונים.,0,1
האמת שלא.,1,0
"קטואצידוזיס נגרם ממחסור חמור באינסולין וגורם לרמה גבוהה של גלוקוזה בדם וליצירת חומר הקרוי ""גופי קטו"".",0,1
גם כדאי מאוד להתקין בחדר מדחום קיר.,0,1
בועדות נפגעי עבודה ניתן למצוא את חוות הדעת באתר האישי.,0,1
הרופא יוצג לפניך בשמו ובתחום מומחיותו וכן יוצג לפניך גם המזכיר.,0,1
פגיעת איבה בחוץ לארץ פגיעה שאירעה בחוץ לארץ תוכר כפגיעת איבה אם מטרתה הייתה פגיעה בישראל או בעם היהודי.,0,1
אתה תושב חוץ ונפגעת תוך כדי ועקב עבודתך אצל מעסיק ישראלי בחוץ לארץ - לצפייה ברשימת המעסיקים לחץ כאן.,0,1
זו יכולה להיות אפילו מחלה קלה שמחוללת שינוי בדפוס הפעולה של מנגנון החיסון בגוף.,0,1
התופעה הזאת נקראת היפוגליקמיה והיא יכולה להתרחש בעקבות מתן מנה גדולה מדי של אינסולין או בעקבות דילוג על ארוחה ולעיתים אף ללא סיבה ברורה.,0,1
"מדובר בכתמי לידה אדומים המופיעים על העפעפיים, על המצח, מעל השפה ובעורף.",0,1
"תאילנד עצמה מדווחת כי מתוך אוכלוסיית התרמילאים הפוקדת אותה כיום, 15% הם מעל לגיל 55 (בהשוואה לשיעור זניח של בני הגילאים האלה לפני עשר שנים).",0,1
"סוכרת נעורים מופיעה בדרך כלל לפני גיל 30, והסובלים ממנה חייבים לקבל טיפול באינסולין.",0,1
העור של תינוק חדש הוא בדרך כלל עדין ורגיש.,1,0
חשוב לשמור על קפלים נקיים.,1,0
איך לסדר את חדר התינוק?,1,0
"שלב שני: בדיקת המצב הרפואי שלך הבדיקה מיועדת לקביעת אחוז נכות, ולא לצורך טיפול רפואי, ולכן היא אינה דומה לבדיקות שמבצע רופא משפחה או רופא מטפל אחר.",0,1
"מומלץ להציב שילוט ברור בכניסה למקום האוסר על העישון במקום, בנוסף לשילוט המחויב על פי התקנות בתוך בית העסק.",0,1
איך מטפלים בסוכרת נעורים?,1,0
לאחר הלידה ניתן להבחין לעיתים בעור התינוק בפריחה עדינה אדמדמה המלוּוה בבליטה צהבהבה במרכז.,0,1
"סוכרת נעורים מופיעה בדרך כלל בפתאומיות, לעיתים קרובות אחרי שהילד או הצעיר סבלו ממחלה נגיפית כלשהי.",0,1
לאחר קבלת ההודעה בנוגע לצורך באבחון ו/או בטיפול יש לפנות למשרד המרפאה כדי לברר על איזה מסלול אבחון וטיפול מבין שני המסלולים הקיימים המליצה הוועדה: אבחון/טיפול בתחום אחד (או יותר).,0,1
הטיפול הוא תהליך.,0,1
ללא טיפול הולם עלול מצבו של החולה להידרדר לאובדן הכרה.,0,1
"הרופא קובע את אחוז הנכות לפי ספר הליקויים, בו מופיע אחוז נכות מוגדר לכל ליקוי רפואי.",0,1
עד גיל 14 ימים צריך לבדוק שהתינוק חזר למשקל הלידה שלו.,0,1
