sentence,NOUN,VERB,ADV,AUX,ADJ,ADP,PUNCT,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes
היתרון העיקרי בתשלום זה הוא יתרון  הנוחות והמהירות.,6,0,0,1,0,0,1,8,42,5.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הפקחים מגיבים לפניות / תלונות וכן פועלים בפעילות יזומה.,4,2,1,0,0,0,2,8,45,5.625,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
אין צורך לטפל בכך.,1,2,1,0,0,0,1,4,14,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אלה הם הנפוצים ביותר: סוכרת נעורים, הנקראת גם סוכרת מסוג 1 או סוכרת תלוית אינסולין.",7,0,2,0,1,1,3,15,66,4.4,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"קריטריונים להסעהתלמידי החינוך המיוחד, החל מכיתות הגן גילאי 3 ועד גיל 21, המשובצים במוסדות החינוך המיוחד זכאים להסעה מאורגנת מיוחדת, ללא קשר להגבלת המרחק: עיכוב התפתחות, הפרעת תקשורת, תלמידים עם מגבלה שכלית קשה/עמוק וסיעודי, משותקי מוחין ובעלי נכויות פיזיות קשות, אוטיסטים/ASD, בעלי הפרעות נפשיות קשות וחולי נפש, תלמידים בעלי מגבלה שכלית בינונית רב- בעייתי, תלמידים בעלי מגבלה שכלית קשה/עמוקה/סיעודית, חירשים וכבדי שמיעה, עיוורים ולקויי ראייה.",44,0,3,0,12,7,19,69,359,5.203,3,22,0,14,0,0,0,0,0,0,0,5,0,0,0,0,4
"בטיול ממושך, הסכנה העיקרית לחולי אסתמה היא יציאה מאיזון והופעת התקפים.",9,0,0,1,1,0,2,11,58,5.273,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ניתן להירשם און-ליין באתר שירות התעסוקה.,3,2,0,0,1,1,2,7,33,4.714,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"מומלץ להציב שילוט ברור בכניסה למקום האוסר על העישון במקום, בנוסף לשילוט המחויב על פי התקנות בתוך בית העסק.",10,2,3,0,0,4,2,19,86,4.526,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"אין כמו המגע, החיבוק, הבעת הפנים והקול המרגיע שלכם כדי לתת לו ביטחון בעולם החדש שאליו יצא.",8,2,2,0,1,1,3,17,71,4.176,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"הנפיחות באשכים אינה קשורה להורמונים, אלא נובעת מהצטברות נוזלים בשק האשכים.",6,2,0,1,0,1,2,11,62,5.636,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ועדת העברותהתלמיד והוריו יכולים לערער על החלטת ועדת השיבוץ בכתב למחלקה לחינוך מיוחד, לגב' אתי וקנין.",11,2,0,0,1,1,3,16,82,5.125,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"מטרתו של חוק זה למנוע את העישון במקומות ציבוריים ואת חשיפת הציבור לעישון כפוי, הגורמת למוות, למחלות ולנכות.",11,2,1,0,1,2,3,18,87,4.833,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"אסור ללחוץ על השד, ובמקרה של אודם יש לפנות לרופא.",4,4,0,0,0,2,2,10,38,3.8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"חושי הראייה, השמיעה, הטעם והריח פועלים כבר מהלידה.",6,1,1,0,0,0,3,8,40,5.0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"בריאות הרגליים: חשוב שמטיילים סוכרתיים יצטיידו בנעליים מתאימות וידאגו להיגיינה מתאימה של כפות הרגליים, כדי למנוע התהוות של פצעים וכיבים כרוניים.",12,3,3,0,0,3,3,21,121,5.762,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"איסור העישון מתייחס לכל מוצרי העישון, הכוללים בין השאר, סיגריות, סיגרים, מקטרת,נרגילה, סיגריות אלקטרוניות ואחרים.",11,2,1,0,0,2,7,16,92,5.75,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"בכל מקרה, אם נוסעים עם סוכרת מומלץ להתייעץ הן עם הרופא או הרופאה במרפאת־המטיילים והן עם הרופא או הרופאה המבצעים את המעקב אחר הסוכרת ולגבש תוכנית פעולה ברורה למקרה שיופיעו סיבוכים (למשל: שמות וכתובות מדויקים של מרפאות או בתי־חולים אמינים ביעדים השונים וכיצד בדיוק מגיעים אליהם).",23,5,4,0,3,7,7,48,225,4.688,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"חשוב לדעת שאין אפשרות להעלות למטוס מיכלי חמצן אישיים, והסידורים השונים משתנים בין חברות התעופה השונות.",9,4,2,0,0,1,2,16,85,5.312,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"עם זאת, יש לפנות עוד לפני כן לרופא ילדים אם מופיעים אחד או יותר מהתסמינים הבאים: עלייה לא מספקת במשקל.",7,3,2,0,1,1,3,20,80,4.0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
זהו המרווח הרצוי.,2,0,0,1,0,0,1,3,14,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"הנחיות פעולה לבעל עסק הנתקל בעישוןמחזיק במקום ציבורי חייב לתלות שילוט האוסר על העישון במקום, לדאוג לתקינות השילוט וכן אסור עליו להציב מאפרות במקום בו חל האיסור לעשן.",17,5,3,0,1,1,2,28,136,4.857,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
איך מאבחנים סוכרת נעורים?,2,1,0,0,0,0,1,4,21,5.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
אחד התינוקות במחלקה חלה בצהבת פיזיולוגית.,4,1,0,0,0,0,1,6,35,5.833,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"תהליכים אלה עלולים לגרום לתחושת־בלבול ולעלייה במפלס החרדה אצל המטיילים מבוגרים, אך ניתן בהחלט לפעול לצמצומן באמצעות הכנה מתאימה לפני הטיול.",11,4,2,0,0,3,3,22,116,5.273,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ערך גלוקוזה (סוכר) של 126 מ""ג ומעלה בשתי בדיקות דם רצופות מאשש את האבחנה.",10,1,0,0,0,2,4,15,56,3.733,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ניתן לקבל על פי בקשה את פרוטוקול הביניים ואת חוות הדעת שבוצעו על ידי המומחים השונים.,9,2,0,0,0,4,1,16,68,4.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הזרקת האינסולין נעשית על ידי החולה עצמו באחת הגפיים ובבטן באמצעות מזרק חד־פעמי או באמצעות עט אינסולין רב־שימושי.,10,1,1,0,1,6,3,20,92,4.6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
החזיקו את התינוק כך שתוכלו להתבונן בו.,2,2,1,0,0,1,1,7,31,4.429,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"בית המשפט הגדיר את אחריות בעל העסק במובן רחב יותר, ומצפה מבעל העסק בנוסף למפורט לעיל, גםלסרב לתת שירות לאדם המעשן בניגוד לחוק ואף לדרוש ממנו לעזוב את המקום, אם לא יחדל מביצוע העבירה.",16,6,3,0,0,5,4,34,145,4.265,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
סוכרת הריונית.,2,0,0,0,0,0,1,2,12,6.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"תלמידי החינוך המיוחד זכאים להסעה, בהתאם לקריטריונים המופיעים בחוזר מנכל הסעות תלמידים.",9,1,1,0,0,1,2,12,73,6.083,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
בוועדת השמה מתקיימים דיונים אחראים ומכבדים הדוגלים בשיתוף התלמיד וההורים ומאפשרים להם להשמיע את עמדתם ולהציג את תפיסתם לגבי המענה ההולם את צרכי התלמיד.,11,4,2,0,2,4,1,24,127,5.292,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
לעיתים ניתן לראות אצל בנות הפרשה דמית קלה מהנרתיק שחולפת בתוך ימים ספורים.,6,3,1,0,1,2,1,13,61,4.692,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
לפעמים רמת הבילירובין גבוהה מהרגיל מסיבות שונות כמו אי־התאמה בין קבוצת דם האם לקבוצת דם התינוק.,12,1,3,0,0,1,2,17,78,4.588,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
האור מחיש את פירוק הבילירובין ומוריד את רמתו.,4,2,0,0,0,2,1,8,37,4.625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הטיפול הוא תהליך.,2,0,0,1,0,0,1,3,14,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ניתן - וכדאי - להצטייד בצמיד לנשיאה על היד, המכיל בתוכו מידע רלוונטי על המחלה.",6,3,2,0,0,2,4,13,60,4.615,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
עלייה בשכיחות הזיהומים ובקושי רב יותר לרפאם - בשל הפגיעה בפעילותה של מערכת החיסון.,9,0,2,0,0,2,2,13,67,5.154,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
בהמשך מצופה שהתינוק יוסיף למשקלו בממוצע 210-140 גרם בשבוע.,5,1,2,0,0,0,2,10,48,4.8,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
צהבת שהולכת ומחמירה לאחר השחרור מבית החולים.,4,0,2,0,0,1,1,7,37,5.286,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
לכן ישנה ירידה בכמות האינסולין המופרשת - עד כדי היעדר מוחלט של אינסולין מייצור עצמי של הגוף.,10,1,0,0,0,4,2,16,74,4.625,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
זו יכולה להיות אפילו מחלה קלה שמחוללת שינוי בדפוס הפעולה של מנגנון החיסון בגוף.,7,2,1,1,1,1,1,14,65,4.643,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"לעיתים קרובות ניתן להבחין במזג שלו על פי תגובותיו למצבים שונים כמו אי־נוחות, שביעות רצון, ערנות, עייפות, רעב ושובע.",11,2,2,0,1,3,6,20,91,4.55,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
קיומן של ועדת השמה למקרים החריגים שפורטו לעיל מחייב אישור של מנהל מחוז.,8,2,1,0,0,2,1,13,58,4.462,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
מקרים מיוחדים אלו יעסקו בעניינים של תלמידים אלו:תלמידים המשתחררים מאשפוז ומצבם מצריך הפניה לוועדת השמה בהמלצת בית החולים.,13,2,1,0,1,1,2,19,102,5.368,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"הבקשה תועלה לדיון במחוז, תוך 16 יום מיום קבלת הפנייה במחוז.",8,1,0,0,0,1,2,11,47,4.273,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"אינך בעל אזרחות ישראלית, אך נכנסת לישראל כחוק לפי חוק הכניסה לישראל, או שאינך זקוק לאשרה (כגון בעלי דרכון דיפלומטי או תיירים ממדינה שישראל פטרה אותה מחובת אשרה וכו’) - ונפגעת בישראל או בשטחי יהודה שומרון (שטחים שבשליטת ישראל).",21,3,4,0,2,2,8,38,179,4.711,0,9,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
"ועדת ערר, המתקיימת במשרד החינוך בבאר שבע, רשאית לקבל את הערר, לדחות אותו או להחזיר את העניין לוועדת השמה לדיון נוסף.",9,4,1,0,1,3,4,21,92,4.381,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"כאשר עולה חשד לסוכרת נעורים, יש לעבור סדרה ארוכה של בדיקות מעבדה.",7,3,0,0,0,1,2,12,52,4.333,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם לא מטפלים במחלת הסוכרת, היא עלולה לגרום לסיבוכים ארוכי טווח כמו: פגיעות בכלי דם (לדוגמה, טרשת עורקים מואצת שעלולה לגרום בעתיד לבעיות לב) פגיעה בעיניים באזור הרשתית שבשלב הסופי שלה עלולה לגרום לעיוורון .פגיעה חמורה בכליות עד אי־ספיקת כליות פגיעה בתחושה העצבית שעלולה להביא לפגיעות טראומטיות - בעיקר בכפות הרגליים בשל חוסר תחושה.",31,9,5,0,3,2,9,54,268,4.963,0,9,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
"תשלום דו חודשי המתבצע עד ה-14 לחודש אי זוגי, כלומר – עד 13, 15, 17 וכן הלאה.",8,0,1,0,0,4,5,17,54,3.176,8,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
במסגרת הטיפול ההתפתחותי מתייחסים לפוטנציאל של הילד אל מול הקושי שלו להשיג אותו ולממש אותו.,5,3,1,0,0,3,1,15,75,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
לעיתים קרובות הוא עוקב במבטו ומקשיב לקולכם.,2,2,2,0,0,0,1,7,36,5.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
איך נערכים נכון לנסיעה?,1,1,1,0,0,0,1,4,19,4.75,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
מהם התסמינים של סוכרת נעורים?,3,0,0,0,0,1,1,5,24,4.8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הכיסויים צריכים להיות קלים אך מחממים.,1,2,2,0,0,0,1,6,31,5.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
כדאי לנקות את אזור ההחתלה במים פושרים ובעת הצורך אפשר לשטוף אותו גם מתחת לברז.,5,2,2,0,0,4,1,15,63,4.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הבילירובין נוצר בעת פירוק הכדוריות האדומות במסגרת התאמת מערכות הגוף לחיים שמחוץ לרחם.,10,1,0,0,0,2,1,13,72,5.538,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
בריכת שחייה לרבות החצר שלה.,3,0,1,0,0,0,1,5,22,4.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם המזגן פועל, כדאי שתי שכבות.",2,1,1,0,0,0,2,6,23,3.833,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
יש להרחיק את התנור מכל חפץ שעלול להתלקח.,3,3,0,0,0,2,1,8,32,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"למי שיצא לחל""ת מ- 20 עד 321 - 14 יום לפחות.",5,0,0,0,0,2,4,11,29,2.636,7,4,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
כמו בכל סוג של למידה מוכרחים ליישם ולתרגל בבית את מה שנלמד בטיפולים כדי להשיג תוצאות.,4,4,2,0,1,3,1,16,69,4.312,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם הוועדה תחליט שאין צורך באבחון/טיפול או אם הילד עבר אבחון בתחום המבוקש בשנה האחרונה (מתאריך יום ההולדת שלו) ואינו זכאי לאבחון נוסף על פי סל הבריאות, תתקבל במשרד המרפאה תשובה מנומקת, והיא תועבר להורה.",21,4,3,0,1,2,6,36,161,4.472,0,6,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1
"טיפול התפתחותי לילד - התהליך המלא עם הגעתכם לרופא הילדים (בעקבות המלצה של גורם מקצועי או בשל חששות שהתעוררו אצלכם), יבחן הרופא את השאלונים שבידיכם, יקשיב לבקשתכם ויחליט אם להפנות את הילד לאבחון.",19,4,0,0,1,6,6,32,156,4.875,0,6,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
"אם לגופיות תפרים בולטים, אפשר להפוך את הגופייה הקרובה לגוף כדי למנוע  גירוי בעור העדין.",8,3,0,0,1,2,2,15,70,4.667,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ההפרשה הזאת נובעת מהורמונים שעברו מהאם אל הבת דרך השליה.,7,1,0,0,0,2,1,10,46,4.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אולם קריאה וחדר קריאה בספריה הפתוחה לציבור, חוץ מן המקומות שהוקצו בידי הנהלת המקום שבהםיהיה העישון מותר, אם הוקצו, ובלבד שיש בהם סידורי אוורור תקינים והעישון בהם אינו גורם למטרד בחלקים אחרים של המקום.",18,3,6,0,1,3,4,34,163,4.794,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
המוקד זמין בימים א' – ה' בין השעות 08:00 – 17:00 בטלפון: 08-6206511 או 9771*מענה טלפוני ממוחשב – המענה הממוחשב זמין 24 שעות ביממה בטלפון: 1800-200-155תשלום מקווןנפתח בחלון חדשאפליקציית CellPay – לאחר הורדת האפליקציה תוכלו לסרוק את הקוד המופיע על החשבון התקופתי שלכם ולשלם דרך האפליקציה.,22,3,0,0,5,5,12,48,226,4.708,33,22,0,7,0,0,0,0,0,1,0,4,0,0,0,2,0
"בחורף: שתי שכבות לבוש בחדר מחומם, שלוש שכבות לבוש כשיוצאים החוצה.",7,0,2,0,0,0,3,11,52,4.727,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"זוהי תופעה שכיחה שחולפת בתוך זמן קצר, ואין צורך להתרגש ממנה.",4,2,1,0,1,1,2,11,48,4.364,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ומה בנוגע לזריקות אינסולין?,3,0,0,0,0,0,1,4,23,5.75,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
מתי לפנות לטיפת חלב ולרופא הילדים?,4,1,0,0,0,0,1,6,28,4.667,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"לאחר ההרשמה, יש לעקוב אחר הנחיות שירות התעסוקה בנוגע להתייצבות פיזית במרכזי שירות התעסוקה.",10,2,0,0,0,2,2,14,75,5.357,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
פגיעה ממעשה אלימות שמטרתו העיקרית פגיעה באדם בשל השתייכותו למוצא לאומי-אתני ושנובע מהסכסוך הישראלי-ערבי.,11,1,0,0,3,1,3,16,88,5.5,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
תנאי רביעי - התייצבות בשירות התעסוקהכדי להיות זכאי לדמי אבטלה עליך להתייצב בשירות התעסוקה.,7,2,1,0,3,0,2,13,75,5.769,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
כיצד תתבצע האכיפה של החוק?,2,1,1,0,0,1,1,5,21,4.2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
תינוקות יונקים בין היתר בריאים יותר וסובלים פחות ממחלות בילדות וכמבוגרים.,5,1,4,0,0,1,1,11,62,5.636,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
נהלי הרישוםהרישום מתבצע לאחר ועדת השמה הקובעת את הזכאות לחינוך מיוחד ולאחר ועדת שיבוץ המשבצת את הילד למסגרת המתאימה לצרכיו.,12,3,2,0,1,2,1,20,103,5.15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
מהו ההבדל בין סוכרת נעורים לסוכרת מבוגרים?,5,0,0,0,0,1,1,7,35,5.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
והנפיחות בעיניים?,2,0,0,0,0,0,1,2,15,7.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
סורגי המיטה צריכים להיות צפופים: אסור שהרווח בין סורגי המיטה יעלה על 7 סנטימטר.,6,3,2,0,0,2,2,14,64,4.571,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"באביב ובסתיו: עליכם להיות ערים לשינויים החלים במזג האוויר, בין היום  ללילה ובין יום אחד למשנהו, ולהלביש את התינוק בהתאם למזג האוויר המשתנה.",14,3,1,0,0,3,4,23,112,4.87,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
מרגע שליחת ההפניה אתם נמצאים בתהליך הבירור.,4,1,0,0,0,1,1,7,36,5.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
הטיפול בסוכרת מותאם אישית לכל חולה.,3,1,1,0,0,1,1,6,29,4.833,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
אתה זכאי לקבל את תוצאות הבדיקות במקום עריכתן עוד בטרם התקבלה החלטה בעניינך.,4,2,4,0,1,1,1,13,62,4.769,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
חדר או אולם פתוח לציבור המשמש לפעילות גופנית או לספורט.,6,1,0,0,1,0,1,10,45,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
יש לו שתן כתום.,2,1,0,0,0,0,1,4,11,2.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
לעיתים יש צורך לעכב את  שחרור התינוק לביתו כדי לעקוב אחר מהלך הצהבת.,6,3,1,0,0,3,1,13,54,4.154,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ועדת שילובועדת השילוב המוסדית מתקיימת בחינוך הרגיל בבית הספר ודנה בזכאותו של תלמיד בעל צרכים מיוחדים להיכלל בתכנית השילוב (פרק ד1 לחוק החינוך המיוחד).,18,3,0,0,0,3,3,24,124,5.167,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם הוועדה תגיע למסקנה שקיים צורך באבחון, אנחנו בכללית נעשה את מרב המאמצים כדי שהתהליך האדמיניסטרטיבי יהיה מהיר וממוקד ושהתהליך הטיפולי יהיה איכותי ויעיל.",8,2,4,2,5,2,2,24,128,5.333,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
הכתמים נעלמים בדרך כלל בתוך כמה חודשים.,2,1,2,0,0,1,1,7,32,4.571,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
איך להלביש את התינוק?,1,1,0,0,0,1,1,4,17,4.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"בעקבות משבר הקורונה, ניתן לקבל דמי אבטלה אם יש לך לפחות 6 חודשי אכשרה ב-18 החודשים האחרונים - למידע נוסף לחץ כאןבתקופת האכשרה יכללו רק חודשי עבודה מגיל 18 עד גיל 6",14,4,3,0,0,5,3,32,129,4.031,6,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"שים לב, אם נפגעת בזמן שעשית מעשה פשע או בזמן שעברת עבירה שיש בה זדון או רשלנות פושעת, לא תוכר כנפגע פעולות איבה.אפשרויות תשלום הארנונהאנו בעיריית באר שבע שואפים להקל על מחזיקי הנכסים בעיר ולכן בנינו מערכת תשלומים ידידותית לתשלומי הארנונה.",23,7,4,0,0,2,4,42,194,4.619,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
מכתב באנגלית מהרופא או הרופאה המטפלים ובו ציון של כל המחלות הכרוניות שמהן סובלים.,7,0,1,0,2,1,1,14,67,4.786,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"תאילנד עצמה מדווחת כי מתוך אוכלוסיית התרמילאים הפוקדת אותה כיום, 15% הם מעל לגיל 55 (בהשוואה לשיעור זניח של בני הגילאים האלה לפני עשר שנים).",9,3,2,0,1,4,4,25,111,4.44,4,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0
תינוק שנוהג לעשות את צרכיו בשעת ההנקה - אפשר להחליף לו את החיתול אחרי ההנקה.,5,3,0,0,1,4,2,14,60,4.286,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"במשרדי רשות ציבורית, משרדים ממשלתיים, בתי משפט ובתי דין, רשויות מקומיות ומועצות דתיות;השטח הפתוח לציבור בקניון, למעט בית עסק המפורט במקום אחר בתוספת זו ולמעט חדר עישוןנפרד לחלוטין שהוקצה לעישון, אם הוקצה, ובלבד שיש בו סידורי אוורור תקינים והעישון בו אינו גורםלמטרד בחלקים אחרים של המקום.",12,0,0,0,0,1,3,47,234,4.979,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"תקופת החל""ת המזכה בדמי אבטלה:למי שיצא לחל""ת עד 320 - 30 יום לפחות.",8,1,2,0,0,2,5,15,49,3.267,5,5,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0
"כעבור יומיים־שלושה, בעקבות ההנקה, מקבלת הצואה גוון צהבהב, ולעיתים קרובות היא רכה.",5,1,3,1,1,1,5,13,65,5.0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם אתה מכיר את הרופא בוועדה באופן אישי או כרופא מטפל, רופא זה לא יכול להשתתף בוועדה שתבדוק אותך.",8,4,0,0,0,1,2,19,76,4.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"עד מהרה תלמדו את התנהגות תינוקכם בנוגע ליציאות, ולפי זה תכוונו את שעת החלפת החיתול.",8,2,0,0,0,4,2,15,67,4.467,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
חזרנו הביתה עם התינוק.,1,1,1,0,0,1,1,4,18,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"מותר לך להכניס מלווה מטעמך, שיהיה נוכח בעת הבדיקה הגופנית.",4,3,0,0,1,1,2,10,47,4.7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
תלמידים אחרי תאונות או טראומות נפשיות או פזיות.,5,0,0,0,0,1,1,8,39,4.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"חשוב לדעת: רק ביטוח נסיעות נסיעות בכללית חו""ל מאפשר כיסוי לבעיות בריאות ולמחלות קיימות וכרוניות, אם נהנית מתקופת בריאות יציבה בחצי השנה שלפני הטיול בחו""ל.",15,3,2,0,0,3,5,27,125,4.63,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
כמה זמן נמשכת המחלה?,1,1,1,0,0,0,1,4,16,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
כיצד ניתן לשלם?,1,1,1,0,0,0,1,3,12,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"סוכרת נעורים מופיעה בדרך כלל לפני גיל 30, והסובלים ממנה חייבים לקבל טיפול באינסולין.",5,3,3,0,0,1,2,14,69,4.929,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
זו בעיה חריפה נוספת שנפוצה במיוחד בקרב חולים בסוכרת נעורים.,4,0,2,0,2,1,1,10,49,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
צוות הוועדה שמקבל את החומר יבדוק את הבקשה ויחליט על בסיס החומר הרפואי ועל סמך חוות הדעת המקצועיות שקיבל אם יש צורך באבחון ובטיפול.,14,5,0,0,0,4,1,24,106,4.417,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"במהלך הטיפול מתרגלים מיומנויות בתחומים כמו שפה, דיבור, חשיבה, תנועה, משחק וקשר.",9,1,0,0,0,2,5,12,63,5.25,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
בימים קרים הוסיפו כובע.,3,1,0,0,0,0,1,4,19,4.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
