sentence,mdd,t_depth,summarizing,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords
הטיפול בקטואצידוזיס כולל מתן נוזלים רבים ומתן אינסולין כדי להוריד את השיעור הגבוה של הסוכר ושל גופי הקטו שנוצרו.,13.2,26,1,18,19,93,4.895,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,2,10,4,0,4,2,0,0,0,2,0,2,0,2,0,0,0,2
"בדרך־כלל הוא לא נראה כפי שדמיינתם אותו במהלך ההריון, אבל בתוך זמן קצר תגלו את המיוחד שבו.",11.95,24,1,16,18,70,3.889,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,6,4,0,2,2,0,0,2,4,4,0,4,2,2,0,0,0,7
"בכל מקרה, אם נוסעים עם אסתמה מומלץ להתייעץ הן עם הרופא או הרופאה במרפאת־המטיילים והן עם הרופא או הרופאה המבצעים את המעקב אחר האסתמה ולגבש תוכנית פעולה ברורה למקרה שיופיעו סיבוכים (למשל: שמות וכתובות מדויקים של מרפאות או בתי־חולים אמינים ביעדים השונים וכיצד בדיוק מגיעים אליהם).",30.52,61,1,45,48,225,4.688,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,10,12,18,8,6,6,0,0,4,8,2,2,4,0,8,2,0,0,11
"בכל מקרה, יש לשמור על אוויר לח בחדר באמצעות מגבת לחה או כלי עם מעט מים במקום שאליו התינוק לא יכול להגיע.",14.33,29,1,21,22,81,3.682,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,4,8,6,0,0,0,0,0,2,2,0,0,2,0,8,4,0,4,8
"אין כמו המגע, החיבוק, הבעת הפנים והקול המרגיע שלכם כדי לתת לו ביטחון בעולם החדש שאליו יצא.",13.3,30,1,16,17,71,4.176,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,2,12,2,2,4,0,0,0,0,0,0,4,0,10,0,0,0,4
"שינוי בהתנהגות הרגילה של התינוק: אי־שקט מסיבה לא ברורה הנמשך כמה שעות או, לחלופין, התינוק ישנוני, מסרב לאכול ובוכה בכי חלש.",13.27,26,1,20,22,97,4.409,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,4,8,2,6,12,2,0,2,0,0,0,2,0,0,2,0,0,2
"אם המעשן מסרב לכבות את הסיגריה, הסבר למעשן שהוא לא יקבל שירות אם ימשיך לעשן וכי הוא מתבקש לעזוב את המקום.",13.12,25,1,20,21,83,3.952,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,2,8,2,4,0,0,0,2,6,4,0,2,4,0,0,0,0,6
כדאי לנקות את אזור ההחתלה במים פושרים ובעת הצורך אפשר לשטוף אותו גם מתחת לברז.,10.55,20,1,14,15,63,4.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,6,6,2,0,0,4,0,2,0,4,0,0,0,2,0,0,4,4
"שלב שלישי: סיכום הדיון וקביעת אחוז הנכות הרפואית לאחר שתעזוב את חדר הוועדה, הרופא יקריא למזכיר את הממצאים הרפואיים שמצא, ויקבע את החלטתו בהתאם למסמכים הרפואיים שבתיק, הקשיים שציינת והבדיקה שערך.",24.27,48,1,30,31,159,5.129,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,6,8,24,6,0,10,10,0,0,0,6,0,8,0,2,0,0,0,3
תינוקות יונקים בין היתר בריאים יותר וסובלים פחות ממחלות בילדות וכמבוגרים.,8.75,18,1,10,11,62,5.636,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,6,4,4,4,0,0,0,4,0,0,0,0,0,2,0,0,0,2
"השאלונים יאפשרו לוועדה להתרשם מצורכי הילד, לזהות את קשייו ולהגדיר את ההתייחסות הנדרשת.",9.44,19,1,12,13,72,5.538,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,4,10,2,0,2,2,0,0,0,4,0,0,0,0,0,0,0,2
החוק חל גם על מקומות עבודה פרטיים.,4.14,6,1,6,7,27,3.857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,2,2,0,2,0,0,0,0,0,2,0,0,0,2
"סימני האירוע הם מתן שתן רב, בחילות, הקאות וכאבי בטן, בעיקר בילדים, סימני התייבשות ונשימות מהירות.",9.95,19,1,15,16,77,4.812,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,6,4,0,4,10,0,2,0,0,0,0,0,0,0,0,0,1
איך לחמם את החדר?,3.0,5,0,3,4,13,3.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2
"הגורמים יכולים להיות רבים, ובעיקר השינויים באופי המאמץ הגופני, במעלות החום, בלחות האוויר ובאלרגנים שבסביבה.",13.08,25,1,14,15,89,5.933,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,12,4,0,4,6,0,2,0,0,0,2,0,0,0,0,2,2
"צריך ללמוד לזהות סימנים להתקף היפוגליקמיה - הזעה, רעב, כאבי ראש, בחילות או בלבול - ולטפל בהם באמצעות מזון או משקה עשיר בסוכר.",12.86,27,1,22,21,97,4.619,0,6,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,14,8,2,6,8,2,0,8,0,0,0,4,0,0,0,2,2,0,0,2,3
"אין בנמצא סטטיסטיקות ישראליות העוסקות במטיילים המבוגרים, אך במרפאות המטיילים של הכללית לא נדיר לפגוש נוסעים בני מעל 80, ולפעמים מעל 90, שיעדם ארצות־הברית או המזרח.",14.37,34,1,25,27,133,4.926,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,6,12,2,4,4,4,0,4,4,0,0,4,0,2,0,0,0,7
מחזיקים במקומות ציבוריים ו/או נושאי משרה ישאו באחריות ליישום החוק והוראותיו.,8.88,18,1,10,12,64,5.333,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,12,2,2,6,4,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
לא מקדימים את המאוחר.,3.0,5,1,3,4,17,4.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2
"לרופא אין סמכות לדון בטיפול רפואי שאתה נזקק לו, ולכן אין טעם לבקש מהרופא בקשות הקשורות לטיפול רפואי.",14.07,29,1,17,18,81,4.5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,12,6,2,4,2,0,0,0,2,0,0,4,2,0,0,0,0,2
לעיתים קרובות הוא עוקב במבטו ומקשיב לקולכם.,5.44,9,1,6,7,36,5.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,0,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,1
"כמות הזריקות ותזמונן במהלך היום תלויים בסוכרתי עצמו ובתגובה שלו לטיפול, וזאת בכפוף להחלטת הרופא ועל סמך בקרה צמודה של רמות הסוכר בדם.",19.19,39,1,22,23,109,4.739,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,14,12,8,2,0,10,0,0,0,0,0,0,4,2,0,0,0,3
"השילוב בין השינויים הגופניים המלווים את העלייה בגיל לבין מחלות כרוניות, ששיעורן הולך ועולה עם הגיל, מוביל לירידה בתפקודים השונים וכך גם בסיבולת הלב־ריאה, בתגובתיות פחותה לירידה במתח החמצן (היפוקסיה), לירידה בתפקוד הכלייתי ולירידה ביכולת לשמר נוזלים.",31.26,63,1,36,38,205,5.395,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,22,30,6,6,12,6,0,4,0,2,0,4,0,6,0,0,0,5
המים צריכים להיות בטמפרטורה של 38-37 מעלות - ניתן למדוד באמצעות מד חום או אמת ההורה.,9.76,19,1,15,16,66,4.125,4,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,10,2,4,4,8,0,0,0,4,0,0,2,0,0,0,0,2,0,0,2,4
"הנחיות פעולה לבעל עסק הנתקל בעישון מחזיק במקום ציבורי חייב לתלות שילוט האוסר על העישון במקום, לדאוג לתקינות השילוט וכן אסור עליו להציב מאפרות במקום בו חל האיסור לעשן.",19.61,40,1,28,29,136,4.69,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,2,12,8,2,6,0,6,0,4,0,0,0,4,0,6,0,0,2,2
היתרון העיקרי בתשלום זה הוא יתרון  הנוחות והמהירות.,4.08,9,1,7,8,42,5.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,2,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
כמו כן לומדים כיצד ניתן לתקשר איתו ולהרגיעו.,6.2,12,1,7,8,36,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,0,0,0,0,0,0,2,0,2,4,0,0,2,4
"ועדת העברות כוללת נציגות פיקוח, נציגות מהשפ""ח ונציגות מהאגף לחנ""מ.",8.81,18,1,9,12,53,4.417,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,6,8,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"אם לגופיות תפרים בולטים, אפשר להפוך את הגופייה הקרובה לגוף כדי למנוע  גירוי בעור העדין.",7.24,18,1,14,15,70,4.667,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,8,10,0,0,4,2,0,0,2,2,0,0,0,2,0,0,2,2
איך להלביש את התינוק?,3.0,5,0,3,4,17,4.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2
"חדר או אולם הפתוחים לציבור בבנק, בבית דואר או בסוכנות דואר או במקום אחר המשמש לקהל או חדר,אולם או מסדרון המשמש להמתנה, למעט חדר נפרד לחלוטין שהוקצה לעישון בידי הנהלת המקום, אם הוקצה, ובלבד שיש בו סידורי אוורור תקינים והעישון בו אינו גורם למטרד בחלקים אחרים של המקום, לרבות חדר מדרגות ומעבר.",37.62,76,1,51,53,232,4.377,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,10,24,18,6,4,2,10,0,6,14,0,0,6,0,8,0,0,0,9
"עד מהרה תלמדו את התנהגות תינוקכם בנוגע ליציאות, ולפי זה תכוונו את שעת החלפת החיתול.",8.5,18,1,14,15,67,4.467,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,2,2,0,0,6,0,4,0,4,0,0,2,4,0,0,0,4
תוכלו לשלם בשתי דרכים: תשלום אחד על מלוא הסכום השנתי שישולם עד ל-31 בינואר של שנת המס אשר יבטיח שלא תשלמו הפרשי הצמדה על חיובי שנת המס השוטפת.,17.88,37,1,27,29,112,3.862,2,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,8,2,6,12,0,0,6,10,0,2,2,0,0,4,0,6,0,0,2,5
"לקראת היום השלישי הירידה מתונה יותר, ולאחר 14-10 ימים אנחנו מצפים שהתינוק יחזור למשקל הלידה.",11.6,22,1,14,16,75,4.688,4,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,2,2,2,12,2,2,4,0,0,0,0,0,0,2,2,4,0,0,0,1
"שים לב, אם נפגעת בזמן שעשית מעשה פשע או בזמן שעברת עבירה שיש בה זדון או רשלנות פושעת, לא תוכר כנפגע פעולות איבה.",16.16,33,1,22,23,87,3.783,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,8,8,0,2,4,10,0,2,6,0,0,6,0,2,0,0,0,4
"חשוב להדגיש, כי אין חובה להקצות חדר עישון.",4.38,8,1,7,8,33,4.125,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,2,2
מדובר בחלק מההסתגלות לאוויר אחרי זמן רב בסביבה מימית.,7.47,15,1,8,9,44,4.889,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,10,6,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"אם למרות נקיטת צעדים אלו, אדם מפר את הוראות החוק מומלץ לפעול על פי הצעדים הבאים:הפנה את תשומת לבו של המעשן לכך שהעישון אסור במקום ולשילוט האוסר על עישון, ודרוש בנימוס לחדול מיד מהעישון או לחילופין לצאת ולעשן מחוץ למקום.",27.67,56,1,39,41,176,4.293,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,2,14,20,6,6,6,8,0,4,4,4,0,4,2,6,0,0,2,9
פגיעה ממעשה אלימות שמטרתו העיקרית פגיעה באדם בשל השתייכותו למוצא לאומי-אתני ושנובע מהסכסוך הישראלי-ערבי.,12.46,25,1,13,16,88,5.5,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,4,10,10,2,2,4,2,0,0,0,0,0,4,0,2,0,0,0,0
"תשלום דו חודשי המתבצע עד ה-14 לחודש אי זוגי, כלומר – עד 13, 15, 17 וכן הלאה.",11.47,21,1,16,17,54,3.176,8,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,2,4,2,2,4,0,0,2,2,0,0,2,0,4,0,0,0,3
"אם מדובר במסמכים רפואיים נוספים, תתבקש להגיש אותם, ואם בבדיקות רפואיות, תתבקש לבצע את הבדיקות.",9.06,19,1,14,15,76,5.067,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,2,2,2,4,2,0,0,2,2,0,0,0,0,0,0,0,2
"האם אנחנו ""זקנים מדי"" כדי לנסוע?",3.4,5,0,5,6,24,4.0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,2,2,0,0,0,1
"מניחים שישנם גורמים רבים המשפיעים על הופעת המחלה ובהן: תורשה, תזונה לקויה, תגובה של מערכת החיסון ומחלות נגיפיות.",12.13,26,1,17,18,91,5.056,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,4,4,4,4,6,4,0,0,0,0,0,4,0,2,0,0,0,2
"קריטריונים להסעה תלמידי החינוך המיוחד, החל מכיתות הגן גילאי 3 ועד גיל 21, המשובצים במוסדות החינוך המיוחד זכאים להסעה מאורגנת מיוחדת, ללא קשר להגבלת המרחק: עיכוב התפתחות, הפרעת תקשורת, תלמידים עם מגבלה שכלית קשה/עמוק וסיעודי, משותקי מוחין ובעלי נכויות פיזיות קשות, אוטיסטים/ASD, בעלי הפרעות נפשיות קשות וחולי נפש, תלמידים בעלי מגבלה שכלית בינונית רב- בעייתי, תלמידים בעלי מגבלה שכלית קשה/עמוקה/סיעודית, חירשים וכבדי שמיעה, עיוורים ולקויי ראייה.",40.97,80,1,65,70,359,5.129,3,22,0,14,0,0,0,0,0,0,0,5,0,0,0,0,4,38,6,24,16,16,10,2,28,20,0,0,0,0,0,4,0,6,0,0,0,1
אנשי המקצוע האלה יבדקו ביסודיות את החומר שהוגש.,6.92,14,1,7,8,39,4.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,8,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,1
הטיפול באינסולין טומן בחובו סיכונים.,4.62,7,1,4,5,31,6.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
התינוק החדש מבלה את רוב שעות היממה במיטה.,5.5,10,1,7,8,33,4.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,6,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,1
אני רוצה להיניק אבל הגעתי הביתה והשדיים כואבים.,5.9,12,0,7,8,39,4.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,4,2,2,0,0,0,2,2,0,0,0,2,0,0,0,0,2
האחריות למניעת חשיפת הציבור לעישון כפוי חלה גם על מניעת חשיפת העובדים במקום ציבורי.,9.56,20,1,13,14,69,4.929,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,6,8,0,2,2,8,0,2,0,0,0,0,0,2,0,0,0,2
"חולים בסוכרת מבוגרים יכולים להסתדר בדרך כלל רק בעזרת דיאטה מתאימה או בעזרת שילוב של דיאטה ושל כדורים, ללא צורך בנטילת אינסולין, לפחות בשנים הראשונות אחרי גילוי מחלתם.",17.59,34,1,27,28,136,4.857,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,4,14,4,2,2,6,8,0,4,2,0,0,0,0,4,0,0,2,6
"בתוך זמן מה תלמדו להכיר את התינוק, להבחין בין בכי הנובע מרעב או מסיבות אחרות ולהיענות לצרכיו.",11.0,21,1,16,17,75,4.412,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,6,6,2,0,0,0,0,0,2,2,2,0,0,4,0,0,0,6
מהי סוכרת נעורים?,2.0,2,0,2,3,14,4.667,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0
"מהניסיון המצטבר ידוע שכ־10% מהילדים מפגינים קשיים שונים בהתפתחותם, אך רק אצל חלקם מאובחן קושי משמעותי וכרוני.",13.19,24,1,16,18,89,4.944,2,4,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,14,0,6,8,8,2,6,0,0,0,2,2,0,0,2,0,2,0,0,0,3
"הוועדה כוללת רופא מומחה שתפקידו לקבוע את דרגת הנכות שלך, ומזכיר שתפקידו לרשום את דבריך ואת פרוטוקול הוועדה ולדאוג לשמירה על זכויותיך.",16.43,33,1,21,22,110,5.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,2,4,8,6,2,2,4,0,0,0,6,0,6,0,2,0,0,0,4
ההפרשה הזאת נובעת מהורמונים שעברו מהאם אל הבת דרך השליה.,8.38,18,1,9,10,46,4.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,10,0,2,0,0,0,0,0,0,0,2,2,4,0,0,0,2
חדר או אולם פתוח לציבור המשמש לפעילות גופנית או לספורט.,7.15,13,1,9,10,45,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,6,2,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,2
"בכי ואי־שקט של תינוק יכולים לנבוע ממגוון רב של סיבות: רעב, כאב בטן, חוסר נוחות עקב התנוחה שבה הוא מונח, חיתול מלוכלך ורטוב, סביבה חמה מדי או קרה מדי, לאחר ארוחה - בגלל נוכחות של בועת אוויר שטרם השתחררה.",20.2,42,1,38,39,155,3.974,0,9,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,24,4,10,4,4,2,0,10,4,0,4,2,0,0,4,0,8,0,0,2,8
מומלץ להכין מראש את כל הציוד הדרוש לאמבטיה.,5.8,12,1,7,8,35,4.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,6,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,2
מטיילים מעל גיל 60 (ומומלץ גם מעל גיל .) טוב יעשו אם יפנו לייעוץ מסודר במרפאת מטיילים של הכללית לפחות ארבעה עד שישה שבועות טרם הנסיעה.,12.8,27,1,25,25,105,4.2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,4,0,2,0,6,0,6,2,0,0,0,0,6,0,0,0,6
האם ההורמונים של האם משפיעים גם על התינוק?,6.33,11,1,7,8,34,4.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,3
נוסעים עם מחלת־לבציוד ותרופות:מטיילים חולי לב צריכים להצטייד במכתב מפורט באנגלית המתאר את מצבם ואת ההליכים הרפואיים שעברו.,12.96,26,1,17,20,102,5.1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,4,10,4,6,8,0,0,0,0,4,0,2,0,2,0,0,2,3
"עובד שכיר שמעסיקו אינו תושב ישראל או עובד בשירות דיפלומטי או קונסולרי של מדינת חוץ, יכולים להיות זכאים לדמי אבטלה למרות שהמעסיק שלהם אינו חייב בתשלום דמי ביטוח עבורם, והם משלמים את דמי הביטוח עבור עצמם.",20.65,40,1,35,36,164,4.556,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,6,6,4,2,2,10,10,0,0,4,2,0,4,2,4,0,0,4,8
לאחר שתתקבל החלטה בתביעתך תישלח אליך הודעה אליה יצורף עותק מהפרוטוקול הרפואי של הוועדה.,10.45,20,1,13,14,73,5.214,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,4,8,0,0,2,0,0,0,0,0,0,2,0,6,0,0,0,1
הניטור הצמוד במקרים האלה הוא חשוב ביותר כדי למנוע מעבר למצב של היפוגליקמיה (תת סוכר בדם) בעקבות עודף האינסולין שניתן כדי לבלום את ההידרדרות במצב החולה.,18.61,38,1,25,26,123,4.731,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,4,6,20,0,2,6,2,0,2,0,2,0,2,2,6,0,0,0,3
"המחזיק במקום ציבורי חייב להציב שילוט המורה על איסור עישון במקום וכן חל איסור על הצבת מאפרות במקום, למעט בחדר עישון, במידה ויש.",17.66,35,1,22,23,101,4.391,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,2,10,12,4,4,2,6,0,2,0,0,0,0,0,4,0,0,2,3
"בנוסף לאלה, הירידה - הטבעית עם הגיל - בהפרשת חומצות הקיבה כרוכה ברגישות גבוהה יותר לזיהומי מעיים ממגוון של מחוללים.",14.87,26,1,19,18,92,5.111,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,4,12,10,0,4,2,6,0,2,0,0,0,0,0,2,0,0,0,3
לאחר מכן מרחו על המקום משחה מגינה.,4.38,8,1,6,7,27,3.857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1
לעיתים הוא רק רוצה את קרבתכם ואת תשומת ליבכם.,5.38,8,1,8,9,36,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,4,0,4,0,0,2,0,0,0,0,4
"נוסעים עם אסתמה ציוד ותרופות: מטיילים הסובלים מאסתמה צריכים להצטייד במלאי מתאים של תרופות, הן תרופות קבועות (משאפים למיניהם) והן תרופות לטיפול בהחמרה פתאומית במחלה (תכשירי סטרואידים).",16.25,34,1,26,27,150,5.556,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,6,10,2,4,6,8,0,0,0,0,0,0,2,2,2,0,0,2,3
"אלה הם הנפוצים ביותר: סוכרת נעורים, הנקראת גם סוכרת מסוג 1 או סוכרת תלוית אינסולין.",10.0,16,1,14,15,66,4.4,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,4,0,6,6,0,0,2,2,0,0,0,2,0,0,0,0,4
"מקלט ציבורי ומחסה ציבורי כהגדרתם בסעיף 11 לחוק ההתגוננות האזרחית, התשי""א -  1951 כל מקום בבניין של בית כנסת, כנסייה, ח'ילווה או מסגד בחצר שלו, למעט חלק של האזור שהוקצה לעישון בידי הנהלת המקום, אם הוקצה, ובלבד שאותו חלק של האזור שהוקצה לעישון אינו מקורה בדרך כלשהי,לרבות בסככה וכיוצא בזה, שטחו רציף ואינו עולה על רבע ממקומות הישיבה באזור, ושאר האזור שמור ללא מעשנים וסומן בבירור שהעישון בו אסור.",41.71,101,1,68,71,312,4.394,6,13,0,11,0,0,0,0,0,0,0,1,0,0,0,2,0,54,10,6,34,38,12,6,6,14,0,6,4,2,0,12,0,8,4,0,0,7
יש להקפיד שההפניה תיעשה לא יאוחר מה- 31 במרץ מידי שנה כדי שהוועדה תסיים את הדיונים עד 15 במאי (לתלמידי בתי הספר) ועד 31 במאי (לגני ילדים) ועדת שיבוץ ועדות שיבוץ פועלות בחודשים יוני ויולי.,21.21,43,1,34,35,147,4.2,6,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,22,8,0,6,12,4,2,8,10,0,2,0,2,0,4,0,8,0,0,2,4
אין גם מה להתבייש!,3.67,4,0,3,4,14,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,3
"מטרתו של חוק זה למנוע את העישון במקומות ציבוריים ואת חשיפת הציבור לעישון כפוי, הגורמת למוות, למחלות ולנכות.",14.08,30,1,17,18,87,4.833,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,10,8,4,2,0,4,0,0,0,4,0,2,2,0,0,0,0,4
"יכולות להופיע נקודות שומן לבנות על האף ועל הסנטר, אך גם הן נעלמות בתוך זמן קצר.",9.18,17,1,15,16,62,3.875,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,4,2,2,2,4,0,2,2,0,0,0,2,6,0,0,0,6
"על פי החוק, את החיוב השנתי של הארנונה יש לשלם במלואו, בראשון לינואר של כל שנת מס, אך מועצת העיר החליטה כי ניתן לשלם את הארנונה בפריסת תשלומים נוחה תוך מתן שפע של אפשרויות תשלום.",21.6,42,1,34,35,139,3.971,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,4,8,16,0,0,6,12,0,0,4,4,0,0,0,4,2,0,4,10
"אם לא עשה כן - 5,000 ₪ קנס שוטרים או פקחים עירוניים שהוסמכו לכך, אחראים על אכיפת החוק ורשאים למסור דו""חות למעשן ו/או למחזיק במקום ציבורי.",16.59,32,1,25,27,105,3.889,4,7,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,16,6,4,6,4,4,2,2,4,0,4,4,0,0,2,0,4,0,0,2,5
הקפידו לקנות מיטה בעלת תו תקן.,3.0,5,1,5,6,24,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
מהו קצב העלייה במשקל של התינוק?,5.0,10,1,5,6,25,4.167,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1
אלו הן ועדות מקצועיות שהרכבן נקבע בחוק ובידיהן הסמכות והאחריות לקבל החלטות לגבי זכאותו של תלמיד בעל צרכים מיוחדים לשירותי חינוך מיוחדים.,15.21,29,1,21,22,114,5.182,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,4,8,6,6,2,2,4,0,0,0,0,0,2,2,2,0,0,0,3
